Code UAI de l’établissement accrédité,Nom officiel (long) de l’établissement accrédité,Adresse de l’établissement accrédité,Code postal de la ville de l’établissement accrédité,Ville de l’établissement accrédité,Identifiant navette de la mention (INM) de master,Domaine(s) de la mention de master,Intitulé de la mention de master,Mention accréditée ou en cours d’accréditation,Modalités d’enseignement de la mention,Semestre auquel la mention est accessible dans l’établissement accrédité,Licences conseillées pour suivre la formation de la mention,etablissement_id_paysage
0860856N,Université de Poitiers,15  RUE DE L'HOTEL DIEU,86034,POITIERS CEDEX,1800356N,"ARTS, LETTRES, LANGUES",Arts,diplôme,"Formation initiale,Formation continue",1er semestre,,hlX1r
0860856N,Université de Poitiers,15  RUE DE L'HOTEL DIEU,86034,POITIERS CEDEX,1800376J,"SCIENCES, TECHNOLOGIES, SANTÉ",Biologie-santé,diplôme,"Formation initiale,Formation continue",1er semestre,,hlX1r
0900424X,Université de technologie de Belfort-Montbéliard,RUE DU CHATEAU,90400,SEVENANS,1702158X,"SCIENCES, TECHNOLOGIES, SANTÉ",Énergie,diplôme,Formation initiale,,,PVnB4
0911975C,Université d'Evry-Val d'Essonne,Boulevard François Mitterrand,91001,EVRY CEDEX,1503069W,Autre Domaine,"Métiers de l'enseignement, de l'éducation et de la formation (MEEF), pratiques et ingénierie de la formation (PIF)",diplôme,,1er semestre,,RN4E6
0912341A,CENTRALESUPELEC GIF SUR YVETTE,3 RUE JOLIOT CURIE,91192,GIF SUR YVETTE CEDEX,1702051F,"SCIENCES, TECHNOLOGIES, SANTÉ",Ingénierie des systèmes complexes,diplôme,Formation initiale,3ème semestre,,m84Aa
0912403T,Institut Polytechnique de Paris,Route de Saclay,91128,PALAISEAU CEDEX,2000148M,"SCIENCES, TECHNOLOGIES, SANTÉ","Mathématiques appliquées, statistique",diplôme,Formation initiale,1er semestre,,kYR50
0921204J,Université Paris-X,200 avenue de la République,92001,NANTERRE CEDEX,1402357B,"SCIENCES, TECHNOLOGIES, SANTÉ",Méthodes informatiques appliquées à la gestion des entreprises - MIAGE,diplôme,"Formation initiale,Formation continue,Apprentissage",1er semestre,,g6rwB
0931238R,Université Paris-XIII,AVENUE JEAN BAPTISTE CLEMENT,93430,VILLETANEUSE,1900361T,"ARTS, LETTRES, LANGUES","Langues, littératures et civilisations étrangères et régionales",diplôme,Formation initiale,1er semestre,,cqyN7
0370800U,Université de Tours,60  RUE RUE DU PLAT D'ETAIN,37000,TOURS,1801082B,"DROIT, ECONOMIE, GESTION",Droit de l'entreprise,diplôme,"Formation initiale,Formation continue",1er semestre,,cqkij
0370800U,Université de Tours,60  RUE RUE DU PLAT D'ETAIN,37000,TOURS,1801084D,"DROIT, ECONOMIE, GESTION",Droit européen,diplôme,"Formation initiale,Formation continue",1er semestre,,cqkij
0370800U,Université de Tours,60  RUE RUE DU PLAT D'ETAIN,37000,TOURS,1801093P,"DROIT, ECONOMIE, GESTION",Droit de la santé,diplôme,"Formation initiale,Formation continue",1er semestre,Droit,cqkij
0383493R,Université Grenoble Alpes,621  AVENUE CENTRALE,38040,GRENOBLE CEDEX 9,1603437S,"SCIENCES, TECHNOLOGIES, SANTÉ",Génie civil,diplôme,"Formation initiale,Formation continue",1er semestre,,Y7ch7
0421095M,Université de Saint-Etienne,10  RUE TREFILERIE,42023,ST ETIENNE CEDEX 2,1601253T,"DROIT, ECONOMIE, GESTION",Contrôle de gestion et audit organisationnel,diplôme,Formation initiale,1er semestre,,tIJ02
