Code UAI de l’établissement accrédité,Nom officiel (long) de l’établissement accrédité,Adresse de l’établissement accrédité,Code postal de la ville de l’établissement accrédité,Ville de l’établissement accrédité,Identifiant navette de la mention (INM) de master,Domaine(s) de la mention de master,Intitulé de la mention de master,Mention accréditée ou en cours d’accréditation,Modalités d’enseignement de la mention,Semestre auquel la mention est accessible dans l’établissement accrédité,Licences conseillées pour suivre la formation de la mention,etablissement_id_paysage
0912403T,Institut Polytechnique de Paris,Route de Saclay,91128,PALAISEAU CEDEX,1501829Y,SCIENCES ET TECHNOLOGIES,Design,diplôme,Formation initiale,3ème semestre,,kYR50
0912403T,Institut Polytechnique de Paris,Route de Saclay,91128,PALAISEAU CEDEX,2000154T,"SCIENCES, TECHNOLOGIES, SANTÉ",Biologie-santé,diplôme,Formation initiale,1er semestre,,kYR50
0912408Y,Université Paris-Saclay,Route de l'Orme aux Merisiers RD,91190,ST AUBIN,1501605E,SCIENCES DE LA VIE ET DE L'ENVIRONNEMENT,Bio-informatique,diplôme,"Formation initiale,Formation continue",1er semestre,,G2qA7
0912408Y,Université Paris-Saclay,Route de l'Orme aux Merisiers RD,91190,ST AUBIN,1503407N,SCIENCES DE LA VIE ET DE L'ENVIRONNEMENT,Nutrition et sciences des aliments,diplôme,"Formation initiale,Formation continue,Apprentissage",1er semestre,,G2qA7
0921204J,Université Paris-X,200 avenue de la République,92001,NANTERRE CEDEX,1401957S,"ARTS, LETTRES, LANGUES",Humanités et industries créatives,diplôme,"Formation initiale,Formation continue,Apprentissage",1er semestre,,g6rwB
0921204J,Université Paris-X,200 avenue de la République,92001,NANTERRE CEDEX,1403080M,"DROIT, ECONOMIE, GESTION",Droit public,diplôme,"Formation initiale,Formation continue",1er semestre,,g6rwB
0931238R,Université Paris-XIII,AVENUE JEAN BAPTISTE CLEMENT,93430,VILLETANEUSE,1005386E,SCIENCES HUMAINES ET SOCIALES,Sciences du langage,diplôme,Formation initiale,1er semestre,,cqyN7
0931827F,Université Paris-VIII,2 rue de la Liberté,93526,ST DENIS CEDEX,1401309M,SCIENCES HUMAINES ET SOCIALES,Patrimoine et musées,diplôme,"Formation initiale,Formation continue",1er semestre,,Uxr7Z
0941111X,Université Paris-XII,61 avenue du Général de Gaulle,94010,CRETEIL CEDEX,1501998G,Autre Domaine,"Métiers de l'enseignement, de l'éducation et de la formation (MEEF), 2nd degré",diplôme,"Formation initiale,Formation continue",1er semestre,,vb71K
0951793H,CY Cergy Paris Université,33 boulevard DU PORT,95011,CERGY PONTOISE CEDEX,1502428Z,Autre Domaine,"Métiers de l'enseignement, de l'éducation et de la formation (MEEF), encadrement éducatif",diplôme,"Formation initiale,Formation continue",1er semestre,,RS4WF
0951793H,CY Cergy Paris Université,33 boulevard DU PORT,95011,CERGY PONTOISE CEDEX,1503069W,Autre Domaine,"Métiers de l'enseignement, de l'éducation et de la formation (MEEF), pratiques et ingénierie de la formation (PIF)",diplôme,"Formation initiale,Formation continue",1er semestre,,RS4WF
0951793H,CY Cergy Paris Université,33 boulevard DU PORT,95011,CERGY PONTOISE CEDEX,2000206Z,SCIENCES HUMAINES ET SOCIALES,"Territoires : cultures, patrimoines, paysages",diplôme,Formation initiale,1er semestre,,RS4WF
7200664J,Université de Corse,7 AVENUE J NICOLI,20250,CORTE,1303115E,Autre Domaine,"Métiers de l'enseignement, de l'éducation et de la formation (MEEF), 1er degré",diplôme,Formation initiale,1er semestre,,NLCOF
7200664J,Université de Corse,7 AVENUE J NICOLI,20250,CORTE,1402472B,Autre Domaine,"Métiers de l'enseignement, de l'éducation et de la formation (MEEF), pratiques et ingénierie de la formation (PIF)",diplôme,Formation initiale,1er semestre,,NLCOF
7200664J,Université de Corse,7 AVENUE J NICOLI,20250,CORTE,1800431U,"ARTS, LETTRES, LANGUES",Langues étrangères appliquées,diplôme,Formation initiale,1er semestre,,NLCOF
9710585J,UNIVERSITE DES ANTILLES,Campus de Fouillole,97157,POINTE A PITRE CEDEX,1800939W,"ARTS, LETTRES, LANGUES","Langues, littératures et civilisations étrangères et régionales",diplôme,Formation initiale,1er semestre,,z3hdL
9710585J,UNIVERSITE DES ANTILLES,Campus de Fouillole,97157,POINTE A PITRE CEDEX,1800966A,"DROIT, ECONOMIE, GESTION",Droit public,diplôme,Formation initiale,1er semestre,,z3hdL
9730429D,Université de la Guyane,2092  ROUTE DE BADUEL,97337,CAYENNE CEDEX,1703294G,Autre Domaine,"Métiers de l'enseignement, de l'éducation et de la formation (MEEF), 1er degré",diplôme,Formation initiale,1er semestre,Toutes licences,hy4EW
9740478B,Université de La Réunion,15 avenue René Cassin,97744,ST DENIS CEDEX 9,1503226S,"SCIENCES, TECHNOLOGIES ET SANTÉ EN ENVIRONNEMENT TROPICAL | CULTURES, TERRITOIRES ET SOCIÉTÉS PLURIELLES DANS L'OCÉAN INDIEN","Métiers de l'enseignement, de l'éducation et de la formation (MEEF), pratiques et ingénierie de la formation (PIF)",diplôme,Formation continue,1er semestre,,cEt92
0694123G,Ecole normale supérieure de Lyon,15  PARVIS RENE DESCARTES,69342,LYON CEDEX 07,1602776Y,SCIENCES HUMAINES ET SOCIALES,Sciences cognitives,diplôme,Formation initiale,1er semestre,,kWved
0753742K,Ecole des hautes études en sciences sociales,54 boulevard Raspail,75006,PARIS,1900182Y,SCIENCES HUMAINES ET SOCIALES,Sciences cognitives,diplôme,Formation initiale,1er semestre,"Philosophie,Psychologie,Sciences du langage,Informatique,Mathématiques,Sciences sociales,Mathématiques et informatique appliquées aux sciences humaines et sociales,Sciences de la vie",y52D7
0597065J,Université de Lille,42 rue Paul Duez,59000,LILLE,1502815V,"SCIENCES, TECHNOLOGIES, SANTÉ","Sciences de la Terre et des planètes, environnement",diplôme,"Formation initiale,Formation continue",1er semestre,,U8a0v
0311381H,Institut national polytechnique de Toulouse,6  ALLÉE EMILE MONSO,31029,TOULOUSE CEDEX 4,1601554V,"SCIENCES, TECHNOLOGIES, SANTÉ",Energie,dossier,"Formation initiale,Formation continue",1er semestre,,mMex4
0340133K,Institut agronomique méditerranéen de Montpellier (IAMM),3191 route de Mende,34093,MONTPELLIER CEDEX 5,1502542Y,"DROIT, ECONOMIE, GESTION",Management,dossier,,1er semestre,,sPqpb
0290346U,Université de Brest,3 RUE DES ARCHIVES,29238,BREST CEDEX 2,1702448M,"DROIT, ECONOMIE, GESTION","Justice, procès et procédures",diplôme,"Formation initiale,Formation continue",1er semestre,,06SE7
0840685N,Université d'Avignon,74  RUE LOUIS PASTEUR,84029,AVIGNON CEDEX 1,1800827Z,Autre Domaine,Staps : activité physique adaptée et santé,diplôme,Formation initiale,1er semestre,Sciences et techniques des activités physiques et sportives,vxHYt
0511296G,Université de Reims,9  BOULEVARD DE LA PAIX,51097,REIMS CEDEX,1800313R,"SCIENCES, TECHNOLOGIES, SANTÉ","Calcul haute performance, simulation",diplôme,"Formation initiale,Formation continue",1er semestre,Informatique,57OsX
0141408E,Université de Caen  Normandie,ESPLANADE DE LA PAIX,14032,CAEN CEDEX 5,1703594G,"DROIT, ECONOMIE, GESTION",Management stratégique,diplôme,"Formation initiale,Formation continue,Alternance",1er semestre,,p25Q3
0171463Y,Université de La Rochelle,23 AVENUE ALBERT EINSTEIN,17031,LA ROCHELLE CEDEX 9,1503034H,"DROIT, ECONOMIE, GESTION",Droit du numérique,diplôme,"Formation initiale,Formation continue",1er semestre,,atbEK
0331766R,Université Bordeaux-III,DOMAINE UNIVERSITAIRE,33607,PESSAC CEDEX,1603233V,SCIENCES HUMAINES ET SOCIALES,"Information, communication",diplôme,Formation initiale,1er semestre,,Mz90U
0490970N,Université d'Angers,40  RUE DE RENNES,49035,ANGERS CEDEX 01,1701540A,"ARTS, LETTRES, LANGUES",Traduction et interprétation,diplôme,"Formation initiale,Formation continue",1er semestre,,IXHyv
0561718N,Université de Bretagne Sud,27  RUE ARMAND GUILLEMOT,56321,LORIENT CEDEX,1701146X,"ARTS, LETTRES, LANGUES",Sciences du langage,diplôme,"Formation initiale,Formation continue,Formation à distance",1er semestre,,5tVy4
0561718N,Université de Bretagne Sud,27  RUE ARMAND GUILLEMOT,56321,LORIENT CEDEX,1701692R,"DROIT, ECONOMIE, GESTION",Gestion des ressources humaines,diplôme,Alternance,1er semestre,"Economie,Gestion,Administration économique et sociale,Economie et gestion",5tVy4
0597065J,Université de Lille,42 rue Paul Duez,59000,LILLE,1502010V,"DROIT, ECONOMIE, GESTION",Economie internationale,diplôme,"Formation initiale,Formation continue",1er semestre,,U8a0v
0632035V,Université Clermont Auvergne,49 boulevard François Mitterrand,63001,CLERMONT FERRAND CEDEX 1,1701580U,"SCIENCES, TECHNOLOGIES, SANTÉ","Qualité, hygiène, sécurité",dossier,"Formation initiale,Formation continue,Alternance",1er semestre,,K4lR3
0692437Z,Université Lyon-III,1  RUE DE L'UNIVERSITE,69239,LYON CEDEX 02,1603337H,SCIENCES HUMAINES ET SOCIALES,Archives,diplôme,Formation initiale,1er semestre,Histoire,7Gzub
0751717J,Université Paris-I,12  PLACE DU PANTHEON,75231,PARIS CEDEX 05,1704652G,"DROIT, ECONOMIE, GESTION",Administration et liquidation d'entreprises en difficulté,diplôme,"Formation initiale,Formation continue",1er semestre,Droit,6G2TU
0801344B,Université d'Amiens,CHEMIN DU THIL,80021,AMIENS CEDEX 1,2100120F,"SCIENCES, TECHNOLOGIES, SANTÉ",STAPS : entraînement et optimisation de la performance sportive,diplôme,"Formation initiale,Formation continue",1er semestre,Sciences et techniques des activités physiques et sportives,8j5s2
0921204J,Université Paris-X,200 avenue de la République,92001,NANTERRE CEDEX,1401917Y,"DROIT, ECONOMIE, GESTION",Economie appliquée,diplôme,"Formation initiale,Formation continue",1er semestre,"Economie et gestion,Mathématiques et informatique appliquées aux sciences humaines et sociales",g6rwB
0681166Y,Université de Mulhouse,2  RUE DES FRERES LUMIERE,68093,MULHOUSE CEDEX 2,1800699K,"SCIENCES, TECHNOLOGIES, SANTÉ",Sciences et génie des matériaux,diplôme,Formation initiale,1er semestre,,OJZ4a
0690187D,Ecole centrale de Lyon,36  AVENUE GUY DE COLLONGUE,69134,ECULLY CEDEX,1602038W,"SCIENCES, TECHNOLOGIES, SANTÉ",Acoustique,diplôme,Formation initiale,1er semestre,,fWJJA
0350936C,Université Rennes-I,2  RUE DU THABOR,35065,RENNES CEDEX,1701984H,"DROIT, ECONOMIE, GESTION",Management et administration des entreprises,diplôme,Formation initiale,1er semestre,,9wAap
0370800U,Université de Tours,60  RUE RUE DU PLAT D'ETAIN,37000,TOURS,1801077W,"DROIT, ECONOMIE, GESTION",Management et administration des entreprises,diplôme,"Formation initiale,Formation continue,Apprentissage",1er semestre,,cqkij
0730858L,Université de Chambéry,27 rue Marcoz,73011,CHAMBERY CEDEX,1601455M,"DROIT, ECONOMIE, GESTION",Droit des affaires,dossier,"Formation initiale,Formation continue",1er semestre,,zCa4j
0931238R,Université Paris-XIII,AVENUE JEAN BAPTISTE CLEMENT,93430,VILLETANEUSE,1504996F,"DROIT, ECONOMIE, GESTION",Analyse et politique économiques,diplôme,Formation initiale,1er semestre,,cqyN7
0951793H,CY Cergy Paris Université,33 boulevard DU PORT,95011,CERGY PONTOISE CEDEX,1502364E,"DROIT, ECONOMIE, GESTION",Economie,diplôme,,1er semestre,Economie,RS4WF
0141408E,Université de Caen  Normandie,ESPLANADE DE LA PAIX,14032,CAEN CEDEX 5,1703374U,SCIENCES HUMAINES ET SOCIALES,Philosophie,diplôme,Formation initiale,1er semestre,"Philosophie,Sociologie",p25Q3
0511296G,Université de Reims,9  BOULEVARD DE LA PAIX,51097,REIMS CEDEX,1800320Y,"ARTS, LETTRES, LANGUES","Langues, littératures et civilisations étrangères et régionales",diplôme,"Formation initiale,Formation continue",1er semestre,,57OsX
0673021V,Université de Strasbourg,4  RUE BLAISE PASCAL,67081,STRASBOURG CEDEX,1800664X,SCIENCES HUMAINES ET SOCIALES,Histoire de l'art,diplôme,"Formation initiale,Formation continue",1er semestre,Histoire de l'art et archéologie,4k25D
0912408Y,Université Paris-Saclay,Route de l'Orme aux Merisiers RD,91190,ST AUBIN,1501417A,SCIENCES HUMAINES ET SOCIALES,Gestion des territoires et développement local,diplôme,"Formation initiale,Formation continue,Apprentissage",1er semestre,,G2qA7
0370800U,Université de Tours,60  RUE RUE DU PLAT D'ETAIN,37000,TOURS,1801089J,"DROIT, ECONOMIE, GESTION",Gestion des ressources humaines,diplôme,"Formation initiale,Formation continue,Apprentissage",1er semestre,,cqkij
0597132G,Université Polytechnique Hauts-de-France,,59300,AULNOY LEZ VALENCIENNES,2000276A,"DROIT, ECONOMIE, GESTION|SCIENCES HUMAINES ET SOCIALES",Management et commerce international,diplôme,"Formation initiale,Formation continue,Apprentissage",1er semestre,"Droit,Gestion,Langues étrangères appliquées,Administration économique et sociale",EW53M
0542493S,Université de Lorraine,34  COURS LEOPOLD,54052,NANCY CEDEX,1800194M,"SCIENCES, TECHNOLOGIES, SANTÉ",Microbiologie,diplôme,"Formation initiale,Formation continue",1er semestre,Sciences de la vie,t6Cq5
0561718N,Université de Bretagne Sud,27  RUE ARMAND GUILLEMOT,56321,LORIENT CEDEX,1702143F,"ARTS, LETTRES, LANGUES",Lettres,diplôme,"Formation initiale,Formation continue",1er semestre,,5tVy4
0350936C,Université Rennes-I,2  RUE DU THABOR,35065,RENNES CEDEX,1702640W,"SCIENCES, TECHNOLOGIES, SANTÉ",Ingénierie des systèmes complexes,diplôme,Formation initiale,1er semestre,,9wAap
0370800U,Université de Tours,60  RUE RUE DU PLAT D'ETAIN,37000,TOURS,1302711R,Autre Domaine,"Métiers de l'enseignement, de l'éducation et de la formation (MEEF), 2nd degré",diplôme,"Formation initiale,Formation continue",1er semestre,,cqkij
0370800U,Université de Tours,60  RUE RUE DU PLAT D'ETAIN,37000,TOURS,1800440D,SCIENCES HUMAINES ET SOCIALES,Histoire de l'art,diplôme,"Formation initiale,Formation continue",1er semestre,,cqkij
0370800U,Université de Tours,60  RUE RUE DU PLAT D'ETAIN,37000,TOURS,1800445J,SCIENCES HUMAINES ET SOCIALES,Urbanisme et aménagement,diplôme,Formation initiale,1er semestre,,cqkij
0370800U,Université de Tours,60  RUE RUE DU PLAT D'ETAIN,37000,TOURS,1801088H,"DROIT, ECONOMIE, GESTION","Justice, procès et procédures",diplôme,"Formation initiale,Formation continue",1er semestre,,cqkij
0450855K,Université d'Orléans,"Château de la Source, avenue du Parc floral",45067,ORLEANS CEDEX 2,1800508C,"DROIT, ECONOMIE, GESTION",Économie internationale,diplôme,"Formation initiale,Formation continue",1er semestre,,HCBvW
0421095M,Université de Saint-Etienne,10  RUE TREFILERIE,42023,ST ETIENNE CEDEX 2,1602737F,"DROIT, ECONOMIE, GESTION",Management et administration des entreprises,diplôme,Formation initiale,3ème semestre,,tIJ02
0421095M,Université de Saint-Etienne,10  RUE TREFILERIE,42023,ST ETIENNE CEDEX 2,1603300T,"SCIENCES, TECHNOLOGIES, SANTÉ",Ingénierie de la santé,diplôme,Formation initiale,1er semestre,"Sciences de la vie,Sciences pour la santé",tIJ02
0440100V,Ecole centrale de Nantes,1  RUE DE LA NOE,44321,NANTES CEDEX 3,1702702N,"SCIENCES, TECHNOLOGIES, SANTÉ",Technologie marine / marine technology,diplôme,Formation initiale,1er semestre,,gCAyK
0440984F,Université de Nantes,1  QUAI DE TOURVILLE,44036,NANTES CEDEX 2,1702657P,"SCIENCES, TECHNOLOGIES, SANTÉ",Sciences de la matière,diplôme,"Formation initiale,Formation continue,Hybride",1er semestre,,7hB8r
0440984F,Université de Nantes,1  QUAI DE TOURVILLE,44036,NANTES CEDEX 2,1702923D,"SCIENCES, TECHNOLOGIES, SANTÉ",Physique fondamentale et applications,diplôme,"Formation initiale,Formation continue,Alternance,Hybride",1er semestre,,7hB8r
0440984F,Université de Nantes,1  QUAI DE TOURVILLE,44036,NANTES CEDEX 2,1703217Y,"SCIENCES, TECHNOLOGIES, SANTÉ","Épistémologie, histoire des sciences et des techniques",diplôme,"Formation initiale,Formation continue,Formation à distance,Hybride",1er semestre,,7hB8r
0623957P,Université d'Artois,9  RUE DU TEMPLE,62030,ARRAS CEDEX,1502130A,"ARTS, LETTRES, LANGUES",Français langue étrangère,diplôme,"Formation initiale,Formation continue,Formation à distance",1er semestre,,BWbvP
0691774D,Université Lyon-I,43 BOULEVARD DU 11 NOVEMBRE 1918,69622,VILLEURBANNE CEDEX,1601762W,"SCIENCES, TECHNOLOGIES, SANTÉ",Risques et environnement,diplôme,"Formation initiale,Formation continue,Alternance,Apprentissage",1er semestre,,etBz7
0542493S,Université de Lorraine,34  COURS LEOPOLD,54052,NANCY CEDEX,1800148M,SCIENCES HUMAINES ET SOCIALES,"Psychologie sociale, du travail et des organisations",diplôme,"Formation initiale,Formation continue",1er semestre,Psychologie,t6Cq5
0542493S,Université de Lorraine,34  COURS LEOPOLD,54052,NANCY CEDEX,1800328G,"SCIENCES, TECHNOLOGIES, SANTÉ","Agrosciences, environnement, territoires, paysage, forêt",diplôme,"Formation initiale,Formation continue",1er semestre,"Sciences de la vie,Sciences de la vie et de la Terre",t6Cq5
0595964M,Université du Littoral,1  PLACE DE L'YSER,59375,DUNKERQUE CEDEX 1,1501259D,Autre Domaine,"Métiers de l'enseignement, de l'éducation et de la formation (MEEF), 1er degré",diplôme,Formation initiale,1er semestre,,yH19Y
0597065J,Université de Lille,42 rue Paul Duez,59000,LILLE,1501955K,"DROIT, ECONOMIE, GESTION",Comptabilité - contrôle - audit,diplôme,"Formation initiale,Formation continue,Alternance,Apprentissage",1er semestre,,Szqy5
0597065J,Université de Lille,42 rue Paul Duez,59000,LILLE,1503306D,"SCIENCES, TECHNOLOGIES, SANTÉ","Automatique, robotique",diplôme,"Formation initiale,Formation continue",1er semestre,,Szqy5
0597132G,Université Polytechnique Hauts-de-France,,59300,AULNOY LEZ VALENCIENNES,1501600Z,"DROIT, ECONOMIE, GESTION",Gestion de patrimoine,diplôme,"Formation initiale,Formation continue,Alternance,Apprentissage",1er semestre,,EW53M
0632035V,Université Clermont Auvergne,49 BOULEVARD FRANCOIS MITTERRAND,63113,CLERMONT FERRAND CEDEX 2,1701410J,"DROIT, ECONOMIE, GESTION",Droit privé,diplôme,"Formation initiale,Formation continue",1er semestre,,FvH4k
0632035V,Université Clermont Auvergne,49 BOULEVARD FRANCOIS MITTERRAND,63113,CLERMONT FERRAND CEDEX 2,1702008J,"DROIT, ECONOMIE, GESTION","Gestion de production, logistique, achats",diplôme,"Formation initiale,Formation continue,Alternance,Apprentissage",1er semestre,,FvH4k
0632035V,Université Clermont Auvergne,49 BOULEVARD FRANCOIS MITTERRAND,63113,CLERMONT FERRAND CEDEX 2,1703242A,SCIENCES HUMAINES ET SOCIALES,"Histoire, civilisations, patrimoine",diplôme,"Formation initiale,Formation continue",1er semestre,,FvH4k
0640251A,Université de Pau,AVENUE DE L UNIVERSITE,64012,PAU CEDEX,1602193P,Autre Domaine,"Métiers de l'enseignement, de l'éducation et de la formation (MEEF), 1er degré",diplôme,,1er semestre,,Mz286
0673021V,Université de Strasbourg,4  RUE BLAISE PASCAL,67081,STRASBOURG CEDEX,1800688Y,"ARTS, LETTRES, LANGUES",Lettres,diplôme,"Formation initiale,Formation continue",1er semestre,,4k25D
0692437Z,Université Lyon-III,1  RUE DE L'UNIVERSITE,69239,LYON CEDEX 02,1602477Y,"DROIT, ECONOMIE, GESTION",Droit bancaire et financier,diplôme,Formation initiale,1er semestre,,7Gzub
0690187D,Ecole centrale de Lyon,36  AVENUE GUY DE COLLONGUE,69134,ECULLY CEDEX,1601358G,"SCIENCES, TECHNOLOGIES, SANTÉ",Génie industriel,diplôme,Formation initiale,3ème semestre,,fWJJA
0601223D,Université de technologie de Compiègne,RUE ROGER COUTTOLENC,60203,COMPIEGNE CEDEX,1201809P,"SCIENCES, TECHNOLOGIES, SANTÉ",Humanités et industries créatives,diplôme,"Formation initiale,Formation continue",1er semestre,,H3nOd
0134009M,Université d'Aix-Marseille,58  BOULEVARD CHARLES LIVON,13284,MARSEILLE CEDEX 07,1800854D,"DROIT, ECONOMIE, GESTION",Gestion des territoires et développement local,diplôme,"Formation initiale,Formation continue",1er semestre,"Gestion,Economie et gestion",xJdyB
0171463Y,Université de La Rochelle,23 AVENUE ALBERT EINSTEIN,17031,LA ROCHELLE CEDEX 9,1501915S,"DROIT, ECONOMIE, GESTION",Management et administration des entreprises,diplôme,"Formation initiale,Formation continue,Formation à distance,Alternance",1er semestre,"Gestion,Langues étrangères appliquées,Economie et gestion",atbEK
0211237F,Université de Dijon,Esplanade Erasme,21078,DIJON CEDEX,1702789H,Autre Domaine,Staps : activité physique adaptée et santé,diplôme,"Formation initiale,Formation continue,Alternance,Apprentissage",1er semestre,,Lr94O
0511296G,Université de Reims,9  BOULEVARD DE LA PAIX,51097,REIMS CEDEX,1800295W,"SCIENCES, TECHNOLOGIES, SANTÉ",Biomécanique,diplôme,"Formation initiale,Formation continue",1er semestre,,57OsX
0542493S,Université de Lorraine,34  COURS LEOPOLD,54052,NANCY CEDEX,1800326E,"SCIENCES, TECHNOLOGIES, SANTÉ",Design,diplôme,"Formation initiale,Formation continue",1er semestre,"Arts,Informatique,Mathématiques,Physique,Sciences pour l'ingénieur",t6Cq5
0681166Y,Université de Mulhouse,2  RUE DES FRERES LUMIERE,68093,MULHOUSE CEDEX 2,1800748P,SCIENCES HUMAINES ET SOCIALES,"Information, communication",diplôme,Formation initiale,1er semestre,,OJZ4a
0251215K,Université de Besançon,1 RUE GOUDIMEL,25030,BESANCON CEDEX,1701870J,"ARTS, LETTRES, LANGUES",Arts de la scène et du spectacle vivant,diplôme,"Formation initiale,Formation continue",1er semestre,,7Mpgt
0341089Z,Université Montpellier-III,ROUTE DE MENDE,34199,MONTPELLIER CEDEX 5,1501098D,"ARTS, LETTRES, LANGUES",Philosophie,dossier,"Formation initiale,Formation continue,Formation à distance",1er semestre,"Lettres,Philosophie,Histoire,Sociologie,Théologie",1I7hJ
0912408Y,Université Paris-Saclay,Route de l'Orme aux Merisiers RD,91190,ST AUBIN,2000129R,"SCIENCES, TECHNOLOGIES, SANTÉ",Ethique,diplôme,"Formation initiale,Formation continue",1er semestre,,G2qA7
0941111X,Université Paris-XII,61 avenue du Général de Gaulle,94010,CRETEIL CEDEX,1501832B,SCIENCES HUMAINES ET SOCIALES,Sciences de l'éducation,diplôme,"Formation initiale,Formation continue",1er semestre,,vb71K
0860856N,Université de Poitiers,15  RUE DE L'HOTEL DIEU,86073,POITIERS Cedex 9,1800331K,"SCIENCES, TECHNOLOGIES, SANTÉ",Énergie,diplôme,"Formation initiale,Formation continue",1er semestre,,hlX1r
0341089Z,Université Montpellier-III,ROUTE DE MENDE,34199,MONTPELLIER CEDEX 5,1502888Z,SCIENCES HUMAINES ET SOCIALES,Histoire,dossier,"Formation initiale,Formation continue",1er semestre,,1I7hJ
0632035V,Université Clermont Auvergne,49 boulevard François Mitterrand,63001,CLERMONT FERRAND CEDEX 1,1702822U,SCIENCES HUMAINES ET SOCIALES,Direction de projets ou établissements culturels,dossier,"Formation initiale,Formation continue",1er semestre,,K4lR3
0597065J,Université de Lille,42 rue Paul Duez,59000,LILLE,1501955K,"DROIT, ECONOMIE, GESTION",Comptabilité - contrôle - audit,diplôme,"Formation initiale,Formation continue,Alternance,Apprentissage",1er semestre,,U8a0v
0751718K,Université Paris-II,12  PLACE DU PANTHEON,75231,PARIS CEDEX 05,0900968C,"DROIT, ECONOMIE, GESTION",Droit privé,diplôme,Formation initiale,1er semestre,,TWBzp
0751717J,Université Paris-I,12  PLACE DU PANTHEON,75231,PARIS CEDEX 05,1604316S,"DROIT, ECONOMIE, GESTION",Droit public,diplôme,Formation initiale,1er semestre,,6G2TU
0673021V,Université de Strasbourg,4  RUE BLAISE PASCAL,67081,STRASBOURG CEDEX,1800706T,"ARTS, LETTRES, LANGUES",Traduction et interprétation,diplôme,"Formation initiale,Formation continue,Formation à distance,Alternance,Apprentissage",1er semestre,,4k25D
0751717J,Université Paris-I,12  PLACE DU PANTHEON,75231,PARIS CEDEX 05,1604335N,"DROIT, ECONOMIE, GESTION","Monnaie, banque, finance, assurance",diplôme,"Formation initiale,Alternance",1er semestre,"Economie,Gestion,Mathématiques,Economie et gestion,Mathématiques et informatique appliquées aux sciences humaines et sociales",6G2TU
0290346U,Université de Brest,3 RUE DES ARCHIVES,29238,BREST CEDEX 2,1303187H,Autre Domaine,"Métiers de l'enseignement, de l'éducation et de la formation (MEEF), 2nd degré",diplôme,"Formation initiale,Formation continue",1er semestre,"Lettres,Histoire,Mathématiques,Langues, littératures et civilisations étrangères et régionales,Géographie et aménagement,Sciences et techniques des activités physiques et sportives",06SE7
0134009M,Université d'Aix-Marseille,58  BOULEVARD CHARLES LIVON,13284,MARSEILLE CEDEX 07,1800842R,"ARTS, LETTRES, LANGUES","Langues, littératures et civilisations étrangères et régionales",diplôme,"Formation initiale,Formation continue,Formation à distance,Alternance",1er semestre,,xJdyB
0691775E,Université Lyon-II,18  QUAI CLAUDE BERNARD,69365,LYON CEDEX 07,1603271L,"DROIT, ECONOMIE, GESTION","Monnaie, banque, finance, assurance",diplôme,"Formation initiale,Formation continue,Alternance",1er semestre,,CUBKB
0912408Y,Université Paris-Saclay,Route de l'Orme aux Merisiers RD,91190,ST AUBIN,1502174Y,"SCIENCES, TECHNOLOGIES, SANTÉ",Mécanique,diplôme,"Formation initiale,Formation continue,Apprentissage",1er semestre,,G2qA7
0755976N,Université de Paris,85 boulevard Saint Michel,75006,PARIS,0900816N,"SCIENCES, TECHNOLOGIES, SANTÉ",Physique fondamentale et applications,diplôme,"Formation initiale,Formation continue,Alternance",1er semestre,,5cZyU
0062205P,Université Côte d'Azur,28 avenue VALROSE,6103,NICE CEDEX 2,1800558G,"SCIENCES, TECHNOLOGIES, SANTÉ",Gestion de l'environnement,diplôme,"Formation initiale,Formation continue",1er semestre,,s3t8T
0931827F,Université Paris-VIII,2 rue de la Liberté,93526,ST DENIS CEDEX,1501464B,SCIENCES HUMAINES ET SOCIALES,Psychologie,diplôme,"Formation initiale,Formation continue",1er semestre,,Uxr7Z
0921204J,Université Paris-X,200 avenue de la République,92001,NANTERRE CEDEX,1502363D,"ARTS, LETTRES, LANGUES|DROIT, ECONOMIE, GESTION|SCIENCES HUMAINES ET SOCIALES|SCIENCES, TECHNOLOGIES, SANTÉ","Métiers de l'enseignement, de l'éducation et de la formation (MEEF), 2nd degré",diplôme,"Formation initiale,Formation continue",1er semestre,,g6rwB
0912408Y,Université Paris-Saclay,Route de l'Orme aux Merisiers RD,91190,ST AUBIN,1502363D,Autre Domaine,"Métiers de l'enseignement, de l'éducation et de la formation (MEEF), 2nd degré",diplôme,"Formation initiale,Formation continue",1er semestre,,G2qA7
0623957P,Université d'Artois,9  RUE DU TEMPLE,62030,ARRAS CEDEX,1502794X,Autre Domaine,"Métiers de l'enseignement, de l'éducation et de la formation (MEEF), 2nd degré",diplôme,Formation initiale,1er semestre,,BWbvP
0951793H,CY Cergy Paris Université,33 boulevard DU PORT,95011,CERGY PONTOISE CEDEX,1503266K,Autre Domaine,"Métiers de l'enseignement, de l'éducation et de la formation (MEEF), 1er degré",diplôme,,1er semestre,,RS4WF
0310152X,Institut national des sciences appliquées de Toulouse,135  AVENUE DE RANGUEIL,31077,TOULOUSE CEDEX 4,1601717X,"SCIENCES, TECHNOLOGIES, SANTÉ",Mathématiques et applications,dossier,,1er semestre,Mathématiques,dj88d
0311381H,Institut national polytechnique de Toulouse,6  ALLÉE EMILE MONSO,31029,TOULOUSE CEDEX 4,1601052Z,"SCIENCES, TECHNOLOGIES, SANTÉ",Génie des procédés et des bio-procédés,dossier,"Formation initiale,Formation continue",3ème semestre,,mMex4
