"Statut de l’etablissement de la filiere de formation (public, prive…)",Code UAI de l etablissement,etablissement,Region de l’etablissement,Filiere de formation
Public,0880013L,Lycee professionnel Pierre Mendes France,Grand Est,FCIL   Saveurs et equilibre
Prive hors contrat,0694324A,Innova Formation,Auvergne Rhone Alpes,BPJEPS   Specialite Educateur sportif   Mention Activites physiques pour tous
Prive enseignement superieur,0755964A,EGC SUP de V   Paris,Ile de France,"Formation des ecoles de commerce et de management Bac + 3   Bachelor Marketing, Vente et Gestion"
Prive sous contrat d association,9710991A,Lycee Les Perseverants,Guadeloupe,"BTS   Production   Cybersecurite, Informatique et reseaux, ELectronique   Option B : Electronique et reseaux"
Prive enseignement superieur,0923028S,ISEN YNCREA OUEST,Ile de France,Formation d ingenieur Bac + 5   Bacs technologiques
Prive sous contrat d association,0301433V,Maison familiale rurale horticole Le Grand Mas,Occitanie,"BTS   Agricole   Metiers du Vegetal : Alimentation, Ornement, Environnement"
Prive sous contrat d association,0831141P,Lycee la Tourrache,Provence Alpes Cote d Azur,DN MADE   Graphisme   Design numerique/ motion design   DATA design
Prive sous contrat d association,0831141P,Lycee la Tourrache,Provence Alpes Cote d Azur,DN MADE   Espace   Design d espace/ amenagement d interieur et paysage
Public,0301654K,Lycee des metiers Genevieve DE GAULLE ANTHONIOZ,Occitanie,BTS   Services   Services et prestations des secteurs sanitaire et social
Prive enseignement superieur,0694426L,Strate Ecole de design   Lyon,Auvergne Rhone Alpes,Formation des ecoles superieure d art Bac + 5
Public,0301911P,Universite de Nîmes,Occitanie,Licence   Droit
Public,0310088C,Lycee professionnel de l Ameublement,Occitanie,BTS   Production   Developpement et Realisation Bois
Public,0310036W,Lycee Pierre De Fermat,Occitanie,CPGE   MPSI
Public,0310036W,Lycee Pierre De Fermat,Occitanie,CPGE   BCPST
Public,0590060V,Lycee Alfred Kastler,Hauts de France,BTS   Production   Conception des processus de realisation de produits (1ere annee commune)
Public,0891255F,Universite de Bourgogne Europe (ex UB)   Site d Auxerre,Bourgogne Franche Comte,Licence   Parcours d Acces Specifique Sante (PASS)
Public,0891255F,Universite de Bourgogne Europe (ex UB)   Site d Auxerre,Bourgogne Franche Comte,Licence   Parcours d Acces Specifique Sante (PASS)
Public,0310038Y,Lycee BELLEVUE,Occitanie,CPGE   PCSI
Public,0310038Y,Lycee BELLEVUE,Occitanie,Classe preparatoire aux etudes superieures   Scientifique
Prive sous contrat d association,0480680D,Lycee polyvalent prive Sacre Coeur,Occitanie,Certificat de Specialisation   Sommellerie
Public,0310040A,Lycee Raymond Naves,Occitanie,BTS   Services   Banque
Prive enseignement superieur,0752792C,IPAG Business School   Campus de Paris,Ile de France,BTS   Services   Management Commercial Operationnel
Public,0310044E,Lycee Deodat de Severac,Occitanie,CPGE   PTSI
Public,0310044E,Lycee Deodat de Severac,Occitanie,BTS   Production   Assistance technique d ingenieur
Public,0310047H,Lycee Ozenne,Occitanie,BTS   Services   Comptabilite et gestion
Public,0290108K,Lycee polyvalent Dupuy de Lome,Bretagne,"BTS   Production   Finitions, amenagement des bâtiments: conception et realisation"
Prive sous contrat d association,0594278E,lycee E.P.I.D.,Hauts de France,BTS   Production   Conception et realisation en chaudronnerie industrielle
Prive enseignement superieur,0682109Y,IFSI de la Fondation de la maison du Diaconat de Mulhouse,Grand Est,D.E Infirmier
Public,0570140T,ENIM Metz,Grand Est,Formation d ingenieur Bac + 5   Bac general
Public,0311086M,I.U.T de Toulouse,Occitanie,BUT   Information communication Parcours communication des organisations
Public,0311092U,Lycee professionnel des Metiers Eugene MONTEL,Occitanie,Certificat de Specialisation   Techn. en energies renouvelables opt. a energie electrique
Prive enseignement superieur,0651119N,Inkipit   Campus de Tarbes,Occitanie,D.E Educateur Specialise
Public,0261372A,Universite Grenoble Alpes   Antenne de Valence,Auvergne Rhone Alpes,Licence   Sciences et Techniques des Activites Physiques et Sportives   Parcours Preparatoire au Professorat des Ecoles (PPPE)
Prive sous contrat d association,0311177L,Institut Limayrac,Occitanie,BTS   Services   Services informatiques aux organisations
Public,9840268U,Lycee des Metiers  Hotelier de Tahiti,,Certificat de Specialisation   Sommellerie
Prive sous contrat d association,0311177L,Institut Limayrac,Occitanie,BTS   Services   Dietetique et nutrition
Prive sous contrat d association,0721478R,Lycee Polyvalent prive Saint Joseph La Salle,Pays de la Loire,"BTS   Production   Fluide, energie, domotique   option C domotique et bâtiment communicants"
Public,0370800U,Universite de Tours,Centre,C.M.I   Cursus Master en Ingenierie   Physique   Technologies Quantiques (TechQu)
Prive sous contrat d association,0311186W,ecole superieure Billieres,Occitanie,BTS   Services   Gestion de la PME
Prive enseignement superieur,0690195M,Institut Catholique de Lyon,Auvergne Rhone Alpes,"Licence   Double diplome   Licence Langues etrangeres appliquees   Parcours Anglais Allemand + DU ""Communication   Traduction"""
Public,0910629P,Lycee professionnel Chateau Des Coudraies,Ile de France,Certificat de Specialisation   Sommellerie
Prive sous contrat d association,0560117Y,Lycee St Paul,Bretagne,BTS   Services   Professions immobilieres
Prive hors contrat,0251999M,Biomedal,Bourgogne Franche Comte,BPJEPS   Specialite Educateur sportif   Mention Activites de la forme
Public,0311514C,ecole d economie et de sciences sociales quantitatives   Toulouse School of Economics (TSE),Occitanie,Double licence   Economie / Droit   parcours double diplomant en Economie et en Droit
Prive sous contrat d association,0060674A,Lycee Fenelon,Provence Alpes Cote d Azur,BTS   Services   Commerce International
Public,0313124C,Universite Toulouse Capitole,Occitanie,Licence   Droit   Parcours Bilingue Droit et monde Hispanique
Public,0313124C,Universite Toulouse Capitole,Occitanie,Licence   Double diplome   Licence Droit   parcours double diplome international franco allemand (Mannheim   Passau)
Public,0311383K,Universite Toulouse 2 Jean Jaures,Occitanie,"Licence   Langues, litteratures et civilisations etrangeres et regionales   Parcours Allemand"
Public,0311383K,Universite Toulouse 2 Jean Jaures,Occitanie,Licence   Musicologie   Parcours Jazz et culture musicale
Public,0311383K,Universite Toulouse 2 Jean Jaures,Occitanie,Licence   Psychologie
Public,0311383K,Universite Toulouse 2 Jean Jaures,Occitanie,Licence   Sociologie
Public,0311383K,Universite Toulouse 2 Jean Jaures,Occitanie,"Licence   Langues, litteratures et civilisations etrangeres et regionales   Parcours Langue et culture chinoises"
Public,0801900F,Lycee De L Authie,Hauts de France,BTS   Services   Services et prestations des secteurs sanitaire et social
Public,0313218E,Universite Toulouse III   Universite Toulouse,Occitanie,Licence   Portail Physique   Physique   L1 Antenne Toulouse
Public,0771027Y,Lycee Joliot Curie,Ile de France,BTS   Services   Management operationnel de la securite
Public,0313218E,Universite Toulouse III   Universite Toulouse,Occitanie,Licence   Informatique
Public,0313218E,Universite Toulouse III   Universite Toulouse,Occitanie,Licence   Portail Mathematiques
Prive sous contrat d association,0300028T,Lycee professionnel Cevenol,Occitanie,Certificat de Specialisation   Services numeriques aux organisations
Public,0313218E,Universite Toulouse III   Universite Toulouse,Occitanie,Licence   Portail Sciences de la vie
Public,0311586F,Lycee Toulouse Lautrec,Occitanie,BTS   Services   Management Commercial Operationnel
Public,0311713U,I.U.T de Blagnac,Occitanie,BUT   Carrieres sociales parcours coordination et gestion des etablissements et services sanitaires et sociaux
Public,0312267W,Lycee Des Arenes,Occitanie,BTS   Services   Metiers de l audio visuel opt : metiers du son
Prive sous contrat d association,0312408Z,Lycee Saliege,Occitanie,CPGE   PCSI
Public,0312759F,Lycee Joseph Gallieni,Occitanie,BTS   Production   Maintenance des vehicules option vehicules de transport routier
Public,0320002D,Lycee Pardailhan,Occitanie,BTS   Services   Management Commercial Operationnel
Prive sous contrat d association,0320633P,Campus La Salle St Christophe,Occitanie,BTS   Agricole   Gestion et protection de la nature
Public,9711046K,Lycee Chevalier Saint Georges,Guadeloupe,Certificat de Specialisation   Cybersecurite
Public,0320691C,I.U.T de Toulouse   Antenne d Auch,Occitanie,BUT   Hygiene Securite Environnement
Public,0320691C,I.U.T de Toulouse   Antenne d Auch,Occitanie,BUT   Genie biologique parcours sciences de l aliment et biotechnologie
Public,0442094M,Lycee polyvalent Nicolas Appert,Pays de la Loire,Certificat de Specialisation   Cybersecurite
Public,0920680P,Lycee professionnel Leonard De Vinci,Ile de France,Certificat de Specialisation   Cybersecurite
Public,0951104J,Lycee Jean Perrin,Ile de France,Certificat de Specialisation   Production et reparation de produits electroniques
Public,0330021U,Lycee Montaigne,Nouvelle Aquitaine,CPGE   BCPST
Prive enseignement superieur,0490075R,ESEO Angers,Pays de la Loire,Formation d ingenieur Bac + 5   Bacs generaux   1 Science
Prive sous contrat d association,9741255W,Lycee Catholique St Charles,Reunion,Formation d ingenieur Bac + 5   Bacs generaux   1 Science
Public,0330023W,Lycee Camille Jullian,Nouvelle Aquitaine,CPGE   Lettres
Prive enseignement superieur,0590347G,ISEN Lille,Hauts de France,Formation d ingenieur Bac + 5   Bacs generaux   1 Science
Prive sous contrat d association,0341521U,Lycee St Joseph Pierre Rouge,Occitanie,Formation d ingenieur Bac + 5   Bacs technologiques
Prive sous contrat d association,0333481E,YNCREA   BeGLES,Nouvelle Aquitaine,Formation d ingenieur Bac + 5   Bacs generaux   1 Science
Prive enseignement superieur,0691501G,Ecole Superieure en Biologie Biochimie Biotechnologies   Institut catholique de Lyon,Auvergne Rhone Alpes,Formation d ingenieur Bac + 5   Bacs technologiques
Prive enseignement superieur,0691501G,Ecole Superieure en Biologie Biochimie Biotechnologies   Institut catholique de Lyon,Auvergne Rhone Alpes,Formation Bac + 3
Prive enseignement superieur,0753559L,ISEP Paris,Ile de France,Formation Bac + 3
Public,0134017W,Aix Marseille Universite   Site d Aix en Provence,Provence Alpes Cote d Azur,Licence   Double diplome   Licence Langues etrangeres appliquees   Double diplome Franco italien en partenariat avec l universite de Milan
Public,0134017W,Aix Marseille Universite   Site d Aix en Provence,Provence Alpes Cote d Azur,Licence   Geographie et amenagement
Public,0134017W,Aix Marseille Universite   Site d Aix en Provence,Provence Alpes Cote d Azur,"Licence   Portail Sciences de l Homme, Anthropologie, Ethnologie"
Public,0133658F,Aix Marseille Universite   Site de Marseille Espace Canebiere,Provence Alpes Cote d Azur,Licence   Portail Droit   Academie de droit
Public,0132133Y,Aix Marseille Universite   Site d Aix en Provence (3 Schuman),Provence Alpes Cote d Azur,Licence   Portail Droit   Academie de droit
Public,0134016V,Aix Marseille Universite   Site d Aix en Provence (La Pauliane),Provence Alpes Cote d Azur,Licence   Economie et gestion   Parcours International Programme in Economics and Management
Public,0450855K,Universite d Orleans,Centre,Double licence   Droit / Histoire  
Public,0450855K,Universite d Orleans,Centre,"Licence   Langues etrangeres appliquees   Parcours Anglais, Espagnol"
Public,0330028B,Lycee Gustave Eiffel,Nouvelle Aquitaine,CPGE   ENS Rennes D1
Public,0450855K,Universite d Orleans,Centre,Licence   Sciences du langage
Public,0450855K,Universite d Orleans,Centre,Licence   Geographie et amenagement
Public,0330028B,Lycee Gustave Eiffel,Nouvelle Aquitaine,BTS   Production   Conception de produits industriels
Public,0573561L,"Universite de Lorraine   UFR Arts, Lettres et Langues   Site de Metz (57)",Grand Est,"Licence   Langues, litteratures et civilisations etrangeres et regionales   Parcours Allemand   Professorat des ecoles"
Public,0541665S,"Universite de Lorraine   UFR Arts, Lettres et Langues   Site de Nancy (54)",Grand Est,"Licence   Langues, litteratures et civilisations etrangeres et regionales   Parcours Anglais   Professorat des ecoles"
Public,0573561L,"Universite de Lorraine   UFR Arts, Lettres et Langues   Site de Metz (57)",Grand Est,Licence   Lettres   Parcours Lettres modernes   Professorat des ecoles
Public,0330028B,Lycee Gustave Eiffel,Nouvelle Aquitaine,BTS   Services   Management Commercial Operationnel
Public,0542485H,Universite de Lorraine   Faculte des Sciences et Technologies   site de Nancy (54),Grand Est,Licence   Portail Informatique
Public,0570137P,"Universite de Lorraine   UFR Mathematiques, Informatique, Mecanique   Site de Metz (57)",Grand Est,Licence   Portail Mathematiques
Public,0542485H,Universite de Lorraine   Faculte des Sciences et Technologies   site de Nancy (54),Grand Est,"Licence   Portail Physique, chimie   Licence 1ere annee Physique   Chimie parcours Professorat des ecoles"
Prive enseignement superieur,0942500G,EPF Paris Cachan,Ile de France,Formation d ingenieur Bac + 5   Bac Serie generale avec la specialite Maths en Terminale + une specialite non scientifique
Prive sous contrat d association,0690522T,Lycee Aux Lazaristes,Auvergne Rhone Alpes,CPGE   PTSI
Prive sous contrat d association,0572341K,Lycee Jean XXIII,Grand Est,CPGE   MP2I
Public,0750663N,Lycee Chaptal,Ile de France,"CPGE   TSI   (en 3 ans, destinee aux bacs professionnels)"
Public,0831243A,Lycee Bonaparte,Provence Alpes Cote d Azur,Diplome de Comptabilite et de Gestion
Public,0330029C,Lycee Nicolas Bremontier,Nouvelle Aquitaine,BTS   Services   Support à l action manageriale
Public,0542491P,Universite de Lorraine   Departement PASS   Site de Nancy (54),Grand Est,Licence   Parcours d Acces Specifique Sante (PASS)
Public,0570137P,"Universite de Lorraine   UFR Mathematiques, Informatique, Mecanique   Site de Metz (57)",Grand Est,Licence   Portail Mathematiques
Public,0542485H,Universite de Lorraine   Faculte des Sciences et Technologies   site de Nancy (54),Grand Est,Licence   Portail Licence 1ere annee Physique   Chimie
Public,0542485H,Universite de Lorraine   Faculte des Sciences et Technologies   site de Nancy (54),Grand Est,Licence   Portail Sciences de la vie
Public,0573562M,Universite de Lorraine   UFR Sciences Humaines et Sociales   Site de Metz (57),Grand Est,Licence   Histoire   Parcours Professorat des ecoles
Public,0542499Y,Universite de Lorraine   UFR Sciences Humaines et Sociales   Site de Nancy (54),Grand Est,Licence   Sociologie   Parcours Professorat des ecoles
Public,0542499Y,Universite de Lorraine   UFR Sciences Humaines et Sociales   Site de Nancy (54),Grand Est,Licence   Sciences de l education et de la formation   Parcours Professorat des ecoles
Public,0542499Y,Universite de Lorraine   UFR Sciences Humaines et Sociales   Site de Nancy (54),Grand Est,Licence   Sciences de l education et de la formation
Prive enseignement superieur,0923009W,ESCE Courbevoie,Ile de France,Formation des ecoles de commerce et de management
Public,0190701J,Lycee professionnel Lavoisier,Nouvelle Aquitaine,BTS   Production   Maintenance des vehicules option voitures particulieres
Public,0062205P,Universite Cote d Azur,Provence Alpes Cote d Azur,Licence   Humanites   Parcours Arts et Metiers de l Image
Public,0330126H,Lycee Victor Louis,Nouvelle Aquitaine,BTS   Services   Management Commercial Operationnel    en 3 ans   Reserve sportifs/artistes
Public,0062205P,Universite Cote d Azur,Provence Alpes Cote d Azur,Licence   Sciences de la terre
Public,0673021V,Universite de Strasbourg,Grand Est,Licence   Sciences et Techniques des Activites Physiques et Sportives   Parcours Double cursus danse
Public,0673021V,Universite de Strasbourg,Grand Est,Licence   Sciences du langage   Parcours Professorat des ecoles – lettres et langues
Public,0673021V,Universite de Strasbourg,Grand Est,Licence   Sciences de l education et de la formation   Parcours Metiers de la formation et de l’intervention educative
Public,0330126H,Lycee Victor Louis,Nouvelle Aquitaine,BTS   Services   Communication
Public,0572874P,"Universite de Lorraine   Institut Superieur Franco Allemand de Techniques, d Economie et de Sciences   Site de Metz (57)",Grand Est,Licence   Gestion   Parcours franco allemand   Management du Tourisme international (ISFATES)
Public,0492226D,Polytech Angers,Pays de la Loire,Formation d ingenieur Bac + 5   Bac general
Public,0801344B,Universite d Amiens,Hauts de France,Licence   Parcours d Acces Specifique Sante (PASS)
Prive enseignement superieur,0942340H,ESTP Campus de Cachan,Ile de France,Diplome d Etablissement   Admission commune Bachelors
Public,0330135T,Lycee Alfred Kastler,Nouvelle Aquitaine,BTS   Production   Assistance technique d ingenieur
Public,0330135T,Lycee Alfred Kastler,Nouvelle Aquitaine,BTS   Production   Conception des processus de realisation de produits (1ere annee commune)
Public,9840349G,Universite de la Polynesie française,,Licence   Droit   Parcours Excellence
Prive enseignement superieur,0755839P,Kedge Business School   Campus de Paris,Ile de France,Formation des ecoles de commerce et de management
Public,0941111X,Universite Paris  Est Creteil Val de Marne   UPEC (Paris 12),Ile de France,Licence   Portail Lettres   Parcours Lettres modernes
Public,0330135T,Lycee Alfred Kastler,Nouvelle Aquitaine,"BTS   Production   Cybersecurite, Informatique et reseaux, ELectronique   Option B : Electronique et reseaux"
Prive enseignement superieur,0333364C,Ferrandi Bordeaux,Nouvelle Aquitaine,Formations aux metiers de l hotellerie restauration Bac +3   Bachelor Manager dans l’hotellerie restauration
Public,0701078S,Lycee Lumiere,Bourgogne Franche Comte,BTS   Production   Aeronautique
Prive sous contrat d association,0390094R,Lycee professionnel Sainte Marie,Bourgogne Franche Comte,"BTS   Production   Cybersecurite, Informatique et reseaux, ELectronique   Option A : Informatique et reseaux"
Public,0134017W,Aix Marseille Universite   Site d Aix en Provence,Provence Alpes Cote d Azur,"Licence   Portail Langues, litteratures et civilisations etrangeres et regionales   LLCER Italien"
Public,0331420P,IUT Bordeaux Montaigne,Nouvelle Aquitaine,BUT   Metiers du multimedia et de l internet
Prive enseignement superieur,0690195M,Institut Catholique de Lyon,Auvergne Rhone Alpes,Licence   Sciences de l education et de la formation
Public,0673021V,Universite de Strasbourg,Grand Est,Licence   Langues etrangeres appliquees   Parcours Langues etrangeres appliquees (LEA)   Anglais (B2)   Italien avance (B1)
Public,0673021V,Universite de Strasbourg,Grand Est,Licence   Langues etrangeres appliquees   Parcours Langues etrangeres appliquees (LEA)   Anglais (B2)   Suedois grand debutant
Public,0673021V,Universite de Strasbourg,Grand Est,Licence   Langues etrangeres appliquees   Parcours Langues etrangeres appliquees (LEA)   Anglais (B2)   Grec moderne grand debutant
Public,0597239Y,Universite de Lille,Hauts de France,"Licence   Portail Sciences de la vie, de la Terre et de l environnement"
Public,0331420P,IUT Bordeaux Montaigne,Nouvelle Aquitaine,BUT   Information communication Parcours publicite
Public,0422048Y,I.U.T de Roanne,Auvergne Rhone Alpes,Formation d ingenieur Bac + 5   Bac general
Public,0080007P,Lycee Sevigne,Grand Est,DTS Imagerie medicale et radiologie therapeutique
Public,0660832W,Universite de Perpignan   Antenne de Font Romeu,Occitanie,Licence   Sciences et Techniques des Activites Physiques et Sportives   Parcours Kine
Public,0692437Z,Universite Jean Moulin Lyon 3,Auvergne Rhone Alpes,"Licence   Langues, litteratures et civilisations etrangeres et regionales   Parcours Allemand"
Public,0660437S,Universite de Perpignan Via Domitia,Occitanie,Licence   Portail Sciences de la vie   Darwin Sciences de la Vie/Sciences de la vie et de la terre   option Kinesitherapie
Public,0370800U,Universite de Tours,Centre,Double licence   Physique / Chimie   Physique / Chimie
Public,0370800U,Universite de Tours,Centre,"Double licence   Langues, litteratures et civilisations etrangeres et regionales / Langues, litteratures et civilisations etrangeres et regionales   LLCER Anglais Italien"
Public,0692437Z,Universite Jean Moulin Lyon 3,Auvergne Rhone Alpes,"Licence   Langues, litteratures et civilisations etrangeres et regionales   Parcours Chinois"
Public,0692437Z,Universite Jean Moulin Lyon 3,Auvergne Rhone Alpes,"Licence   Langues, litteratures et civilisations etrangeres et regionales   Parcours Italien"
Public,0692437Z,Universite Jean Moulin Lyon 3,Auvergne Rhone Alpes,"Licence   Langues, litteratures et civilisations etrangeres et regionales   Parcours Japonais"
Public,0692437Z,Universite Jean Moulin Lyon 3,Auvergne Rhone Alpes,"Licence   Langues, litteratures et civilisations etrangeres et regionales   Parcours Russe   Grands debutants (cursus 4 ans)"
Public,0692437Z,Universite Jean Moulin Lyon 3,Auvergne Rhone Alpes,Licence   Langues etrangeres appliquees   Parcours Anglais Chinois
Public,0692437Z,Universite Jean Moulin Lyon 3,Auvergne Rhone Alpes,Licence   Langues etrangeres appliquees   Parcours Anglais Espagnol
Public,0692437Z,Universite Jean Moulin Lyon 3,Auvergne Rhone Alpes,Licence   Langues etrangeres appliquees   Parcours Anglais Russe
Public,0330069W,Lycee des metiers des soins et des services à la personne La Morlette,Nouvelle Aquitaine,BTS   Services   Metiers de la coiffure
Public,0332722E,Lycee Pape Clement,Nouvelle Aquitaine,"BTS   Production   Cybersecurite, Informatique et reseaux, ELectronique   Option A : Informatique et reseaux"
Public,0692437Z,Universite Jean Moulin Lyon 3,Auvergne Rhone Alpes,Licence   Philosophie
Public,0011329P,Campus de Bourg en Bresse   Universite Lyon 3,Auvergne Rhone Alpes,Licence   Histoire
Public,7200664J,Universite de Corte,Corse,Double licence   Droit / Administration publique  
Public,9840349G,Universite de la Polynesie française,,Licence   Portail Mathematiques   Mathematiques et Sciences pour l ingenieur
Public,0511296G,Universite de Reims Champagne Ardenne,Grand Est,Licence   Sciences pour la sante   Physique   Chimie    Acces Sante
Public,0331766R,Universite Bordeaux Montaigne,Nouvelle Aquitaine,"Licence   Langues, litteratures et civilisations etrangeres et regionales   Parcours Licence 1   Coreen"
Public,7200664J,Universite de Corte,Corse,"Licence   Langues, litteratures et civilisations etrangeres et regionales   Parcours Langues, Cultures, Medias de Mediterranee Espagnol"
Public,7200664J,Universite de Corte,Corse,Licence   Arts   Parcours Arts et Design
Public,0333357V,I.U.T de Bordeaux   Site de Gradignan,Nouvelle Aquitaine,BUT   Mesures physiques
Public,9720832X,Universite des Antilles   Pole Martinique,Martinique,Licence   Portail Geographie et amenagement   Amenagement et environnement
Prive enseignement superieur,0133925W,Ecole MOPA,Provence Alpes Cote d Azur,"Formation des ecoles superieure d art Bac + 5   Expert en conception, realisation et animation 3D"
Prive enseignement superieur,0171427J,EXCELIA,Nouvelle Aquitaine,Diplome d Etablissement   Bachelor Communication et Strategies digitales
Prive enseignement superieur,0371790V,EXCELIA   Campus de Tours,Centre,Diplome d Etablissement   Bachelor Communication et Strategies digitales
Public,0580582T,Lycee d Enseignement General et Technologique Agricole du Morvan,Bourgogne Franche Comte,BTS   Agricole   Technico commercial   Specialite alimentation et boisson
Prive sous contrat d association,0331501C,Lycee Sainte Marie Bastide,Nouvelle Aquitaine,BTS   Services   Management Commercial Operationnel
Prive sous contrat d association,0331501C,Lycee Sainte Marie Bastide,Nouvelle Aquitaine,BTS   Services   Communication
Public,0750690T,Lycee Francois Villon,Ile de France,BTS   Services   Economie sociale familiale
Public,0755976N,Universite Paris Cite,Ile de France,Licence   Parcours d Acces Specifique Sante (PASS)
Public,0134248X,Aix Marseille Universite   Site de Marseille Timone,Provence Alpes Cote d Azur,Licence   Parcours d Acces Specifique Sante (PASS)
Public,0660437S,Universite de Perpignan Via Domitia,Occitanie,Licence   Portail Mathematiques
Public,0133686L,I.U.T d Aix Marseille   Site d Arles,Provence Alpes Cote d Azur,BUT   Metiers du multimedia et de l internet
Public,0140013N,Lycee Malherbe,Normandie,CPGE   MPSI
Public,0931827F,Universite Paris 8,Ile de France,Licence   Langues etrangeres appliquees   Parcours Allemand / Espagnol
Public,0140017T,Lycee Jean Rostand,Normandie,BTS   Services   Gestion de la PME
Public,0290346U,Universite de Brest,Bretagne,Licence   Parcours d Acces Specifique Sante (PASS)
Public,0772910V,Institut d etudes politiques de Fontainebleau   UPEC,Ile de France,Licence   Portail Science politique   Parcours Science politique internationale
Public,0941111X,Universite Paris  Est Creteil Val de Marne   UPEC (Paris 12),Ile de France,Licence   Portail Lettres   Parcours Lettres modernes
Public,9741204R,Universite de la Reunion   Le Tampon,Reunion,Licence   Portail Economie et gestion
Public,0141112H,Lycee agricole Le Robillard,Normandie,"BTS   Agricole   Metiers de l elevage: developpement, production et conseil"
Public,0353074B,Universite de Rennes (EPE),Bretagne,Licence   Parcours d Acces Specifique Sante (PASS)
Prive sous contrat d association,0141175B,Lycee Institut Lemonnier,Normandie,BTS   Production   Maintenance des systemes   option A Systemes de production
Prive sous contrat d association,0660951A,Institut Regional du Travail Social de Perpignan,Occitanie,D.E Assistant de Service Social
Public,0931391G,Universite Sorbonne Paris Nord   Antenne de Bobigny,Ile de France,Licence   Portail Sciences sanitaires et sociales
Public,0931827F,Universite Paris 8,Ile de France,Licence   Portail Sciences du langage
Public,0931827F,Universite Paris 8,Ile de France,Licence   Portail Lettres   Litterature : creation litteraire et ecritures du monde
Public,0313124C,Universite Toulouse Capitole,Occitanie,Licence   Portail Droit   parcours Droit
Prive enseignement superieur,0690195M,Institut Catholique de Lyon,Auvergne Rhone Alpes,"Licence   Double diplome   Licence Droit   Double diplome Licence de Droit   DU ""world foreign policy"""
Prive sous contrat d association,0141178E,Lycee Sainte Ursule,Normandie,BTS   Services   Support à l action manageriale
Prive sous contrat d association,0141178E,Lycee Sainte Ursule,Normandie,BTS   Services   Commerce International
Public,0130201Y,Aix Marseille Universite   Site de Marseille Luminy,Provence Alpes Cote d Azur,Licence   Portail Sciences et Techniques des Activites Physiques et Sportives   Sciences et Techniques des Activites Physiques et Sportives Tronc commun  (Site de Luminy)
Public,0252006V,CREPS de Dijon   Antenne de Besançon,Bourgogne Franche Comte,BPJEPS   Specialite Educateur sportif   Mention Activites aquatiques et de la natation
Prive sous contrat d association,0141178E,Lycee Sainte Ursule,Normandie,BTS   Services   Negociation et digitalisation de la Relation Client
Public,9730429D,Universite de Guyane,Guyane,Licence   Parcours d Acces Specifique Sante (PASS)
Prive sous contrat d association,0141178E,Lycee Sainte Ursule,Normandie,BTS   Services   Communication
Public,0134016V,Aix Marseille Universite   Site d Aix en Provence (La Pauliane),Provence Alpes Cote d Azur,Licence   Portail Administration economique et sociale   Economie et Gestion   Gestion
Public,0134016V,Aix Marseille Universite   Site d Aix en Provence (La Pauliane),Provence Alpes Cote d Azur,Licence   Portail Mathematiques et informatique appliquees aux sciences humaines et sociales
Public,0561739L,Universite de Bretagne Sud   Site de Vannes,Bretagne,"Licence   Portail Sciences de la vie et de la terre   Biologie generale, Biologie cellulaire moleculaire, Sciences de l environnement, Biologie Biotechnologies, Biologie Biosante, TACB"
Public,0763470J,Universite de Rouen Normandie   Campus PASS Le Havre,Normandie,Licence   Parcours d Acces Specifique Sante (PASS)
Public,0141234R,IUT GRAND OUEST NORMANDIE   Pole de Caen   Site de Caen,Normandie,BUT   Genie biologique parcours biologie medicale et biotechnologie
Prive enseignement superieur,1340044V,Toulouse Business School   Campus de Barcelone,,Formation des ecoles de commerce et de management Bac + 3   Bachelor en Management
Public,0941111X,Universite Paris  Est Creteil Val de Marne   UPEC (Paris 12),Ile de France,Licence   Administration et Echanges internationaux   Parcours Amerique Latine
Public,0134015U,Aix Marseille Universite   Site de Marseille Saint Charles,Provence Alpes Cote d Azur,Licence   Portail Mathematiques et informatique appliquees aux sciences humaines et sociales   Mathematiques Appliquees et Sciences Sociales (Site de Saint Charles)
Public,0141275K,Lycee Paul Cornu,Normandie,"BTS   Production   Cybersecurite, Informatique et reseaux, ELectronique   Option A : Informatique et reseaux"
Public,0141275K,Lycee Paul Cornu,Normandie,BTS   Services   Etudes de realisation d un projet de communication   1ere annee commune
Public,0132133Y,Aix Marseille Universite   Site d Aix en Provence (3 Schuman),Provence Alpes Cote d Azur,Double licence   Droit / Economie et gestion  
Public,0931391G,Universite Sorbonne Paris Nord   Antenne de Bobigny,Ile de France,Licence   Parcours d Acces Specifique Sante (PASS)
Public,0342490X,Universite de Montpellier,Occitanie,Licence   Portail Droit   Droit (Faculte de Droit et Science Politique)
Public,0692185A,INSTITUT DES SCIENCES ET TECHNIQUES DE LA READAPTATION UNIVERSITE LYON 1,Auvergne Rhone Alpes,Certificat de capacite d Orthophoniste
Public,0731570K,Universite Savoie Mont Blanc   Bourget du Lac,Auvergne Rhone Alpes,"Licence   Portail Physique, chimie   Parcours Chimie (tronc commun MPC:  Mathematiques Physique Chimie)"
Public,0342490X,Universite de Montpellier,Occitanie,Licence   Portail Economie   Economie (Faculte d Economie)
Public,0860856N,Universite de Poitiers,Nouvelle Aquitaine,Licence   Chimie    Acces Sante
Public,0860856N,Universite de Poitiers,Nouvelle Aquitaine,Licence   Mathematiques    Acces Sante
Public,0860856N,Universite de Poitiers,Nouvelle Aquitaine,Licence   Sciences de la terre    Acces Sante
