"Statut de l’etablissement de la filiere de formation (public, prive…)",Code UAI de l etablissement,etablissement,Region de l’etablissement,Filiere de formation
Prive sous contrat d association,0560858D,Lycee agricole La Touche,Bretagne,"BTS   Agricole   Metiers de l elevage: developpement, production et conseil"
Public,0560861G,I.U.T de Vannes,Bretagne,BUT   Informatique
Public,0561363C,I.U.T de Lorient,Bretagne,BUT   Hygiene Securite Environnement
Public,0561641E,Lycee Marcellin Berthelot,Bretagne,BTS   Production   Europlastics et composites à referentiel commun europeen   option Pilotage et Optimisation de la production
Prive enseignement superieur,0561687E,Facultes libres de l ouest   UCO   Bretagne Sud,Bretagne,Licence   Histoire
Public,0561698S,Lycee Jean Mace,Bretagne,BTS   Services   Metiers des Services à l environnement
Public,0561718N,Universite de Bretagne Sud   Site de Lorient,Bretagne,CPGE   ENS Rennes D1
Public,0561718N,Universite de Bretagne Sud   Site de Lorient,Bretagne,Licence   Sciences sanitaires et sociales   Parcours Action sociale Sante
Public,0561718N,Universite de Bretagne Sud   Site de Lorient,Bretagne,"Licence   Langues, litteratures et civilisations etrangeres et regionales   Parcours Anglais"
Public,0570023R,Lycee Antoine De Saint Exupery,Grand Est,BTS   Services   Negociation et digitalisation de la Relation Client
Public,0570030Y,Lycee Blaise Pascal,Grand Est,BTS   Services   Gestion de la PME
Public,0570030Y,Lycee Blaise Pascal,Grand Est,BTS   Services   Economie sociale familiale
Public,0570057C,Lycee Robert Schuman,Grand Est,BTS   Services   Comptabilite et gestion
Public,0570087K,Lycee des Metiers Charles Jully,Grand Est,BTS   Production   Conception des processus de realisation de produits (1ere annee commune)
Public,0570098X,Lycee Jean De Pange,Grand Est,BTS   Services   Commerce International
Public,0570099Y,Lycee Henri Nomine,Grand Est,BTS   Services   Conseil et commercialisation de solutions techniques
Public,0570108H,Lycee La Briquerie,Grand Est,"BTS   Production   Cybersecurite, Informatique et reseaux, ELectronique   Option A : Informatique et reseaux"
Public,0570175F,I.U.T de Metz   Universite de Lorraine,Grand Est,BUT   Techniques de commercialisation
Prive sous contrat d association,0570210U,Lycee Notre Dame,Grand Est,BTS   Services   Tourisme
Prive sous contrat d association,0570311D,Lycee De La Salle,Grand Est,BTS   Services   Support à l action manageriale
Public,0572022N,Lycee Felix Mayer,Grand Est,BTS   Services   Gestion de la PME
Public,0572536X,"Universite de Lorraine   Faculte de Droit, Economie et Administration   Site de Metz (57)",Grand Est,Licence   Droit
Public,0573561L,"Universite de Lorraine   UFR Arts, Lettres et Langues   Site de Metz (57)",Grand Est,Licence   Arts plastiques
Public,0573562M,Universite de Lorraine   UFR Sciences Humaines et Sociales   Site de Metz (57),Grand Est,Licence   Information et communication
Public,0573562M,Universite de Lorraine   UFR Sciences Humaines et Sociales   Site de Metz (57),Grand Est,Licence   Sociologie
Public,0572757M,Lycee Georges De La Tour,Grand Est,CPGE   Lettres
Public,0573231C,Lycee Condorcet,Grand Est,"BTS   Production   Cybersecurite, Informatique et reseaux, ELectronique   Option A : Informatique et reseaux"
Public,0573281G,Lycee De La Communication,Grand Est,BTS   Services   Communication
Public,0573281G,Lycee De La Communication,Grand Est,BTS   Services   Metiers de l audio visuel opt : metiers du son
Public,0573281G,Lycee De La Communication,Grand Est,BTS   Services   Metiers de l audio visuel opt : montage et post production
Prive sous contrat d association,0573366Z,Lycee   Campus Saint Vincent de Paul Thionville,Grand Est,DTS Imagerie medicale et radiologie therapeutique
Public,0573433X,IUT de Moselle Est   Site de Sarreguemines   Universite de Lorraine,Grand Est,BUT   Management de la Logistique et des Transports
Public,0573435Z,I.U.T. Thionville Yutz   Universite de Lorraine,Grand Est,BUT   Genie industriel et maintenance
Public,0580014A,Lycee Pierre Gilles de Gennes,Bourgogne Franche Comte,BTS   Production   Metiers de l eau
Public,0580032V,Lycee Raoul Follereau,Bourgogne Franche Comte,BTS   Services   Support à l action manageriale
Public,0580032V,Lycee Raoul Follereau,Bourgogne Franche Comte,BTS   Services   Management Commercial Operationnel
Prive sous contrat d association,0580071M,Centre scolaire Notre Dame,Bourgogne Franche Comte,BTS   Services   Support à l action manageriale
Public,0590010R,Lycee Paul Hazard,Hauts de France,BTS   Services   Comptabilite et gestion
Public,0590011S,Lycee Gustave Eiffel,Hauts de France,CPGE   PTSI
Public,0590011S,Lycee Gustave Eiffel,Hauts de France,BTS   Production   Conception de produits industriels
Public,0590018Z,Lycee Jesse De Forest,Hauts de France,Mise à niveau   Hotellerie restauration
Public,0590034S,Lycee Paul Duez,Hauts de France,BTS   Services   Management Commercial Operationnel
Public,0590035T,Lycee Fenelon,Hauts de France,BTS   Services   Tourisme
Public,0590063Y,Lycee Albert Chatelet,Hauts de France,CPGE   MPSI
Public,0590063Y,Lycee Albert Chatelet,Hauts de France,CPGE   Lettres
Public,0590064Z,Lycee Jean Baptiste Corot,Hauts de France,BTS   Services   Management Commercial Operationnel
Public,0590065A,Lycee Elisa LEMONNIER,Hauts de France,BTS   Production   Electrotechnique
Public,0590071G,Lycee Jean Bart,Hauts de France,BTS   Services   Services informatiques aux organisations
Public,0590072H,Lycee De L Europe,Hauts de France,BTS   Production   Conception et Realisation de Systemes Automatiques
Public,0590072H,Lycee De L Europe,Hauts de France,BTS   Production   Conception et realisation en chaudronnerie industrielle
Public,0590073J,Lycee Auguste Angellier,Hauts de France,BTS   Services   Management Commercial Operationnel
Public,0590073J,Lycee Auguste Angellier,Hauts de France,BTS   Services   Comptabilite et gestion
Public,0590110Z,Lycee Jean Perrin,Hauts de France,BTS   Services   Management Commercial Operationnel
Public,0590121L,Lycee Cesar Baggio,Hauts de France,BTS   Production   Conception des processus de realisation de produits (1ere annee commune)
Public,0590121L,Lycee Cesar Baggio,Hauts de France,"BTS   Production   Cybersecurite, Informatique et reseaux, ELectronique   Option B : Electronique et reseaux"
Public,0590121L,Lycee Cesar Baggio,Hauts de France,BTS   Services   Etudes de realisation d un projet de communication   1ere annee commune
Public,0590122M,Lycee Valentine Labbe,Hauts de France,CPGE   TB
Public,0590122M,Lycee Valentine Labbe,Hauts de France,BTS   Production   Bioanalyses en laboratoire de controle
Public,0590122M,Lycee Valentine Labbe,Hauts de France,BTS   Services   Services et prestations des secteurs sanitaire et social
Public,0590122M,Lycee Valentine Labbe,Hauts de France,DTS Imagerie medicale et radiologie therapeutique
Public,0590215N,Lycee Sevigne,Hauts de France,BTS   Services   Gestion de la PME
Public,0590221V,Lycee Henri Wallon,Hauts de France,CPGE   PCSI
Public,0590223X,Lycee Du Hainaut,Hauts de France,BTS   Production   Conception de produits industriels
Public,0590223X,Lycee Du Hainaut,Hauts de France,BTS   Production   Maintenance des vehicules option voitures particulieres
Public,0590255G,Lycee professionnel GUY DEBEYRE,Hauts de France,BTS   Services   Gestion des transports et logistique associee
Public,0590258K,Lycee Gaston Berger,Hauts de France,CPGE   ECT   Option technologique
Public,0590258K,Lycee Gaston Berger,Hauts de France,BTS   Services   Conseil et commercialisation de solutions techniques
Public,0590258K,Lycee Gaston Berger,Hauts de France,BTS   Services   Assurance
Public,0590258K,Lycee Gaston Berger,Hauts de France,Diplome de Comptabilite et de Gestion
Public,0590282L,Lycee Jules Mousseron,Hauts de France,BTS   Services   Economie sociale familiale
Public,0590311T,CPI Lille (ENSC Lille),Hauts de France,Formation d ingenieur Bac + 5   Bac General
Public,0597215X,Institut universitaire de technologie de Lille   Universite de Lille,Hauts de France,BUT   Mesures physiques
Prive sous contrat d association,0592921E,Lycee Saint Remi,Hauts de France,BTS   Services   Services informatiques aux organisations
Prive sous contrat d association,0592928M,Lycee Jeanne D Arc,Hauts de France,BTS   Services   Dietetique et nutrition
Prive sous contrat d association,0592967E,Lycee La Sagesse,Hauts de France,BTS   Services   Management Commercial Operationnel
Prive sous contrat d association,0592967E,Lycee La Sagesse,Hauts de France,BTS   Services   Economie sociale familiale
Prive sous contrat d association,0593006X,Lycee Notre Dame D Annay,Hauts de France,BTS   Services   Support à l action manageriale
Prive sous contrat d association,0593007Y,Lycee Frederic OZANAM,Hauts de France,BTS   Production   Maintenance des systemes   option A Systemes de production
Prive sous contrat d association,0593027V,Lycee professionnel prive Numerique des Metiers EPIL (Campus Sup  Groupe OEC),Hauts de France,BTS   Production   Systemes constructifs bois et habitat
Prive sous contrat d association,0593034C,Lycee THEOPHILE LEGRAND,Hauts de France,BTS   Production   Electrotechnique
Prive sous contrat d association,0593034C,Lycee THEOPHILE LEGRAND,Hauts de France,BTS   Services   Management Commercial Operationnel
Public,0593052X,I.U.T. de Valenciennes,Hauts de France,BUT   Genie electrique et informatique industrielle
Prive sous contrat d association,0593071T,Lycee Deforest De Lewarde,Hauts de France,BTS   Services   Comptabilite et gestion
Public,0593255T,"Lycee de la Nature et des Biotechnologies, Douai Bio Tech ",Hauts de France,"BTS   Agricole   Analyses biologiques, biotechnologiques, agricoles et environnementales"
Public,0597132G,Universite Polytechnique Hauts de France,Hauts de France,"Licence   Genie civil   Parcours Genie Civil, Architectural et Urbain"
Public,0597132G,Universite Polytechnique Hauts de France,Hauts de France,Licence   Portail Droit
Public,0597239Y,Universite de Lille,Hauts de France,"Licence   Langues, litteratures et civilisations etrangeres et regionales   Parcours Langues scandinaves"
Public,0597239Y,Universite de Lille,Hauts de France,Licence   Philosophie   Parcours Philosophie   Sociologie
Prive sous contrat d association,0594278E,lycee E.P.I.D.,Hauts de France,BTS   Production   Controle industriel et regulation automatique
Public,0594365Z,IUT LITTORAL (DUNKERQUE),Hauts de France,BUT   Techniques de commercialisation
Public,0594424N,Lycee Raymond Queneau,Hauts de France,BTS   Services   Management Commercial Operationnel
Public,0595786U,Lycee Jean Prouve,Hauts de France,BTS   Production   Bâtiment
Public,0595786U,Lycee Jean Prouve,Hauts de France,BTS   Production   Management economique de la construction
