"Statut de l’etablissement de la filiere de formation (public, prive…)",Code UAI de l etablissement,etablissement,Region de l’etablissement,Filiere de formation,Coordonnées GPS de la formation
Prive enseignement superieur,0753620C,ISG Paris,Ile de France,Formation des ecoles de commerce et de management Bac + 3   Bachelor en Management International,"48.86723, 2.27594"
Prive enseignement superieur,0753620C,ISG Paris,Ile de France,Formation des ecoles de commerce et de management Bac + 3   Bachelor en Management International,"48.86723, 2.27594"
Prive enseignement superieur,0753620C,ISG Paris,Ile de France,Formation des ecoles de commerce et de management Bac + 5    Programme Grande Ecole,"48.86723, 2.27594"
Public,0875076V,ILFOMER Institut limousin de formation aux metiers de la readaptation,Nouvelle Aquitaine,D.E Ergotherapeute,"45.81726, 1.23048"
Public,0561739L,Universite de Bretagne Sud   Site de Vannes,Bretagne,Licence   Portail Informatique / Mathematiques,"47.6451, -2.7454"
Public,0171463Y,La Rochelle Universite,Nouvelle Aquitaine,Double licence   Droit / Langues etrangeres appliquees   Double Licence Droit / LEA anglais chinois,"46.1476, -1.15511"
Public,0761904G,Universite de Rouen Normandie   Campus Mont Saint Aignan,Normandie,Double licence   Histoire / Philosophie  ,"49.4583, 1.06895"
Public,0331766R,Universite Bordeaux Montaigne,Nouvelle Aquitaine,"Licence   Langues, litteratures et civilisations etrangeres et regionales   Parcours Licence 1   Italien","44.7966, -0.61747"
Public,0331766R,Universite Bordeaux Montaigne,Nouvelle Aquitaine,"Licence   Langues, litteratures et civilisations etrangeres et regionales   Parcours Licence 1   Portugais trilangue","44.7966, -0.61747"
Public,9740478B,Universite de La Reunion   Saint Denis,Reunion,Diplome d Universite   PAREO   CPESIP (Cycle preparatoire aux Etudes Superieures et à l Insertion Professionnelle),"-20.9017, 55.4852"
Public,9741204R,Universite de la Reunion   Le Tampon,Reunion,Diplome d Universite   PAREO   CPESIP (Cycle preparatoire aux Etudes Superieures et à l Insertion Professionnelle),"-21.2698, 55.507"
Public,0421095M,"Universite Jean Monnet, Saint Etienne",Auvergne Rhone Alpes,Licence   Economie,"45.4294, 4.39127"
Public,0421095M,"Universite Jean Monnet, Saint Etienne",Auvergne Rhone Alpes,Licence   Portail Chimie   BGC,"45.4229, 4.42569"
Public,0421095M,"Universite Jean Monnet, Saint Etienne",Auvergne Rhone Alpes,Licence   Portail Chimie,"45.45109, 4.38848"
Public,0421095M,"Universite Jean Monnet, Saint Etienne",Auvergne Rhone Alpes,Licence   Portail Sciences de la vie,"45.4229, 4.42579"
Public,0290346U,Universite de Brest,Bretagne,Licence   Parcours d Acces Specifique Sante (PASS),"48.4005, -4.50073"
Prive sous contrat d association,0251480Y,Lycee agricole et technologique Lasalle,Bourgogne Franche Comte,"BTS   Agricole   Analyse, conduite et strategie de l entreprise agricole, option Territoires metropolitains","46.9568, 6.1223"
Public,0290346U,Universite de Brest,Bretagne,"Licence   Portail ISI   Informatique et Sciences pour l ingenieur en Electronique, Signal, Telecommunications, Reseaux, Genie Mecanique, Image et Son","48.4005, -4.50073"
Public,0422311J,Sciences Po Lyon   Institut d Etudes Politiques   campus de Saint Etienne,Auvergne Rhone Alpes,Double diplome  Sciences Po Lyon (Grade Master)   Licence  (Universite Jean Monnet),"45.4295, 4.39125"
Public,0830077H,Lycee agricole de Hyeres,Provence Alpes Cote d Azur,"BTS   Agricole   Technico commercial   Specialite vins, bieres et spiritueux","43.1193, 6.15196"
Public,0251671F,Lycee Edgar Faure,Bourgogne Franche Comte,BTS   Production   Conception et industrialisation en microtechniques,"47.0613, 6.60695"
Public,0211139Z,I.U.T de Dijon,Bourgogne Franche Comte,BUT   Information communication Parcours communication des organisations,"47.311, 5.06879"
Public,0251711Z,Lycee Claude Nicolas Ledoux,Bourgogne Franche Comte,BTS   Production   Etude et realisation d agencement,"47.2542, 6.00004"
Public,0250001R,Lycee professionnel Nelson Mandela,Bourgogne Franche Comte,BTS   Production   Europlastics et composites à referentiel commun europeen   option Conception d Outillage,"47.48241, 6.83418"
Public,0642127P,Universite de Pau et des pays de l Adour   College SSH (Pau),Nouvelle Aquitaine,C.M.I   Cursus Master en Ingenierie   Economie et gestion   economie du Developpement Durable,"43.31626, -0.36509"
Public,0251711Z,Lycee Claude Nicolas Ledoux,Bourgogne Franche Comte,BTS   Services   Professions immobilieres,"47.2542, 6.00004"
Public,0261372A,Universite Grenoble Alpes   Antenne de Valence,Auvergne Rhone Alpes,"Licence   Portail Informatique   Informatique, Mathematiques et Applications (IMA)","44.9173, 4.91557"
Public,0341089Z,Universite Paul Valery   Montpellier 3,Occitanie,Licence   Etudes theatrales,"43.6308, 3.87033"
Public,0251763F,IUT Nord Franche Comte   Site de Montbeliard,Bourgogne Franche Comte,BUT   Mesures physiques,"47.495, 6.80371"
Public,0353074B,Universite de Rennes (EPE),Bretagne,Licence   Parcours d Acces Specifique Sante (PASS),"48.1173, -1.69604"
Public,0251763F,IUT Nord Franche Comte   Site de Montbeliard,Bourgogne Franche Comte,BUT   Metiers du multimedia et de l internet,"47.4962, 6.804"
Public,0313218E,Universite Toulouse III   Universite Toulouse,Occitanie,Licence   Double diplome   Licence Mathematiques   DU Parcours Speciaux,"43.5608, 1.46936"
Public,0251763F,IUT Nord Franche Comte   Site de Montbeliard,Bourgogne Franche Comte,BUT   Gestion administrative et commerciale des organisations,"47.4942, 6.80313"
Public,0290346U,Universite de Brest,Bretagne,Licence   Parcours d Acces Specifique Sante (PASS),"48.4005, -4.50073"
Public,0290346U,Universite de Brest,Bretagne,Licence   Parcours d Acces Specifique Sante (PASS),"48.4005, -4.50073"
Public,0691774D,Universite Claude Bernard Lyon 1,Auvergne Rhone Alpes,Licence   Parcours d Acces Specifique Sante (PASS),"45.7403, 4.88778"
Public,0290346U,Universite de Brest,Bretagne,Licence   Parcours d Acces Specifique Sante (PASS),"48.4005, -4.50073"
Public,0313218E,Universite Toulouse III   Universite Toulouse,Occitanie,"C.M.I   Cursus Master en Ingenierie   Double diplome   Licence Electronique, energie electrique, automatique   C.M.I   Cursus Master en Ingenierie Mention EEA","43.5608, 1.46936"
Public,0313218E,Universite Toulouse III   Universite Toulouse,Occitanie,Licence   Double diplome   Licence Chimie   DU Parcours Speciaux,"43.5608, 1.46936"
Prive sous contrat d association,0680161F,Institution Don Bosco   Lycee professionnel,Grand Est,FCIL   secretariat medical,"47.8127, 7.33989"
Public,0691774D,Universite Claude Bernard Lyon 1,Auvergne Rhone Alpes,Licence   Parcours d Acces Specifique Sante (PASS),"45.7413, 4.88468"
Prive sous contrat d association,0440355X,Lycee Agricole Charles PEGUY,Pays de la Loire,"BTS   Agricole   Technico commercial   Specialite vins, bieres et spiritueux","47.1039, -1.3025"
Public,0251821U,Universite Marie et Louis Pasteur   Universite de Franche Comte (Montbeliard),Bourgogne Franche Comte,Licence   Sciences de la vie   Parcours Sciences de la vie   environnement,"47.4954, 6.80407"
Public,0341089Z,Universite Paul Valery   Montpellier 3,Occitanie,Licence   Sciences de l education et de la formation   Parcours Preparatoire au Professorat des Ecoles (PPPE),"43.6308, 3.87033"
Public,0290346U,Universite de Brest,Bretagne,"Licence   Portail Physique, chimie","48.4005, -4.50073"
Public,0922252Y,CY Cergy Paris Universite   INSPe de l’academie de Versailles,Ile de France,Licence   Sciences de l education et de la formation   Parcours Preparatoire au Professorat des Ecoles (PPPE),"48.73495, 2.30667"
Public,0180035R,Lycee Edouard Vaillant,Centre,Certificat de Specialisation   Animation gestion de projets dans le secteur sportif,"47.2281, 2.06758"
Public,0212296G,Universite Bourgogne Europe (ex universite de Bourgogne),Bourgogne Franche Comte,Licence   Parcours d Acces Specifique Sante (PASS),"47.3129, 5.06603"
Public,0212296G,Universite Bourgogne Europe (ex universite de Bourgogne),Bourgogne Franche Comte,Licence   Parcours d Acces Specifique Sante (PASS),"47.3129, 5.06603"
Public,0860035W,Lycee Camille Guerin,Nouvelle Aquitaine,CPGE   MP2I,"46.5678, 0.36531"
Public,0560051B,Lycee Alain Rene Lesage,Bretagne,CPGE   MP2I,"47.6474, -2.7707"
Public,9740001H,Lycee Leconte de Lisle,Reunion,CPGE   MP2I,"-20.8879, 55.4693"
Public,0290346U,Universite de Brest,Bretagne,"Licence   Portail Physique, chimie","48.4005, -4.50073"
Prive enseignement superieur,0941934S,EFREI Paris,Ile de France,Formation Bac + 3   Bachelor Developpeur web et application,"48.7897, 2.36385"
Prive enseignement superieur,0941934S,EFREI Paris,Ile de France,Formation des ecoles de commerce et de management Bac + 3   Bachelor Business et nouvelles technologies,"48.7897, 2.36385"
Prive sous contrat d association,0561463L,Lycee agricole KERLEBOST,Bretagne,BTS   Agricole   Technico commercial   Specialite biens et services pour l agriculture,"48.0075, -2.97335"
Prive sous contrat d association,0221673Z,Lycee agricole St ILAN,Bretagne,BTS   Agricole   Technico commercial   Specialite univers jardins et animaux de compagnie,
Prive sous contrat d association,0071126L,Institut Superieur Saint Denis,Auvergne Rhone Alpes,BUT   Carrieres juridiques,"45.2422, 4.67776"
Public,0942072S,IUT de Creteil Vitry (Site de Vitry)   UPEC,Ile de France,BUT   Informatique,"48.7766, 2.37597"
Public,9840386X,Lycee de Papara,,BTS   Services   Metiers des Services à l environnement,"-17.76876, -149.48032"
Public,9730513V,LYCEE POLYVALENT RAYMOND TARCY,Guyane,Certificat de Specialisation   Animation gestion de projets dans le secteur sportif,"5.4693, -53.96377"
Public,0260015A,Lycee Alain Borne,Auvergne Rhone Alpes,BTS   Services   Commerce International,"44.5555, 4.74664"
Public,0870669E,Universite de Limoges,Nouvelle Aquitaine,Licence   Parcours d Acces Specifique Sante (PASS),"45.81403, 1.23455"
Public,0260023J,Lycee Du Dauphine,Auvergne Rhone Alpes,BTS   Services   Assurance,"45.0501, 5.04222"
Prive sous contrat d association,0542519V,LEAP AGRICULTURE ET TERRITOIRE IS4A,Grand Est,BTS   Agricole   Technico commercial   Specialite biens et services pour l agriculture,"48.6968, 6.13598"
Prive enseignement superieur,0753541S,Institut Catholique de Paris (ICP)  Campus de Paris,Ile de France,Annee preparatoire   Annee de preparation aux etudes superieures (A.P.E.S.)  Option Sciences politiques,"48.8481, 2.32917"
Public,0640049F,Lycee professionnel Guynemer,Nouvelle Aquitaine,Certificat de Specialisation   Services numeriques aux organisations,"43.1837, -0.62955"
Public,0221624W,Lycee professionnel maritime Pierre Loti,Bretagne,BTS   Maritime   Mecatronique Navale,"48.784, -3.04708"
Public,0332298U,Institut de Formation en Pedicurie Podologie CHU BORDEAUX,Nouvelle Aquitaine,D.E Pedicure Podologue,"44.8263, -0.61326"
Prive sous contrat d association,0260072M,Lycee Saint Louis,Auvergne Rhone Alpes,"BTS   Production   Cybersecurite, Informatique et reseaux, ELectronique   Option A : Informatique et reseaux","44.7246, 5.0265"
Prive sous contrat d association,0260074P,Lycee Montplaisir,Auvergne Rhone Alpes,CPGE   ECT   Option technologique,"44.9313, 4.90875"
Public,0673149J,I.U.T. de Schiltigheim   Site de Selestat,Grand Est,BUT   Gestion des entreprises et des administrations,"48.26399, 7.45476"
Prive sous contrat d association,0260074P,Lycee Montplaisir,Auvergne Rhone Alpes,BTS   Services   Orthoprothesiste,"44.919, 4.91665"
Prive sous contrat d association,0260074P,Lycee Montplaisir,Auvergne Rhone Alpes,BTS   Services   Support à l action manageriale,"44.9185, 4.91638"
Prive hors contrat,9730526J,PROJET PROFESSIONNEL PLUS,Guyane,D.E Infirmier,"4.93951, -52.3291"
Public,0330026Z,Lycee Francois Magendie,Nouvelle Aquitaine,DN MADE   Objet   Specialite Eco conception : materiaux durables et innovants,"44.827, -0.58502"
Public,0330026Z,Lycee Francois Magendie,Nouvelle Aquitaine,DN MADE   Objet   Specialite Innovation sociale : modes de vie et pratiques de l usager,"44.827, -0.58502"
Public,0260113G,Lycee Les Catalins,Auvergne Rhone Alpes,BTS   Production   Maintenance des systemes   option A Systemes de production,"44.57, 4.76063"
Public,0632084Y,Universite Clermont Auvergne,Auvergne Rhone Alpes,"Licence   Portail Sciences pour la sante   Readaptation : acces Ergotherapie, Orthoptie et Masso kinesitherapie","45.7592, 3.08924"
Public,0632084Y,Universite Clermont Auvergne,Auvergne Rhone Alpes,"Licence   Portail Sciences pour la sante   Readaptation : acces Ergotherapie, Orthoptie et Masso kinesitherapie","45.759, 3.08926"
Public,0260791U,Lycee agricole De Romans Sur Isere,Auvergne Rhone Alpes,"BTS   Agricole   Metiers du Vegetal : Alimentation, Ornement, Environnement","45.0522, 4.99857"
Public,0500017X,Lycee Alexis De Tocqueville,Normandie,BTS   Production   Conception et realisation en chaudronnerie industrielle,"49.6296, -1.60654"
Public,0220023F,Lycee Felix Le Dantec,Bretagne,Certificat de Specialisation   Services numeriques aux organisations,"48.731, -3.44693"
Public,0062205P,Universite Cote d Azur,Provence Alpes Cote d Azur,"Cycle pluridisciplinaire d etudes Superieures   Humanites, Lettres et Societes","43.709, 7.28823"
Public,0370800U,Universite de Tours,Centre,"Cycle pluridisciplinaire d etudes Superieures   Sciences de la transition ecologique et societale   Parcours: Sciences experimentales, environnement et transition ecologique    Sciences humaines, environnement et transition ecologique","47.3914, 0.68952"
Prive hors contrat,0442770X,Centre d enseignement superieur en optique lunetterie (CESOL),Pays de la Loire,BTS   Services   Opticien Lunetier,"47.264, -1.57288"
Public,0952259P,CY Cergy Paris Universite,Ile de France,Diplome d Universite   PAREO,"49.0388, 2.0742"
Prive hors contrat,0595877T,ECOSUP Ecole technologique privee Institut de gestion hoteliere,Hauts de France,BTS   Services   Dietetique et nutrition,"50.72134, 3.1584"
Public,0420093Y,Centrale Lyon ENISE,Auvergne Rhone Alpes,Formation d ingenieur Bac + 5   CapECL   cycle preparatoire d admission aux formations d ingenieur de l Ecole Centrale de Lyon,"45.4293, 4.42257"
Public,0610014J,Lycee Auguste Chevalier,Normandie,Classe preparatoire aux etudes superieures   Scientifique,"48.5927, -0.64212"
Prive enseignement superieur,0561687E,Facultes libres de l ouest   UCO   Bretagne Sud,Bretagne,DSP   Formation aux metiers de la securite et de la gendarmerie,"47.6476, -2.80572"
Public,0130038W,Lycee Marseilleveyre,Provence Alpes Cote d Azur,Classe preparatoire aux etudes superieures   Cinema audiovisuel   parcours scenario,"43.2406, 5.37807"
Public,0694123G,Ecole Normale Superieure de Lyon,Auvergne Rhone Alpes,Cycle pluridisciplinaire d etudes Superieures   Sciences et societe   Economie et Societe,"45.7331, 4.83401"
Public,0080027L,Lycee Monge,Grand Est,Certificat de Specialisation   Services numeriques aux organisations,"49.7615, 4.71263"
Public,0271016H,Lycee agricole Edouard de Chambray,Normandie,BTS   Agricole   Genie des equipements agricoles,"48.8391, 1.00053"
Prive sous contrat d association,0271282X,Lycee Saint Anselme,Normandie,BTS   Services   Economie sociale familiale,"49.0945, 0.60456"
Public,0271431J,Lycee Jacques Prevert,Normandie,BTS   Production   Conception et industrialisation en microtechniques,"49.3502, 0.52395"
Public,0271579V,Lycee Leopold Sedar Senghor,Normandie,BTS   Production   Bioanalyses en laboratoire de controle,"49.0082, 1.13966"
Public,0271634E,Lycee Jean Baptiste Decretot,Normandie,BTS   Services   Management en hotellerie restauration,"49.2165, 1.17474"
Public,0271666P,I.U.T d Evreux,Normandie,BUT   Mesures physiques,"49.0177, 1.13514"
Public,0280007F,Lycee Marceau,Centre,CPGE   MPSI,"48.443, 1.49261"
Public,0280019U,Lycee Rotrou,Centre,BTS   Services   Biologie medicale,"48.7343, 1.36241"
Public,0280021W,Lycee Edouard BRANLY,Centre,BTS   Production   Electrotechnique,"48.731, 1.37806"
Public,0281047L,Lycee Fulbert,Centre,BTS   Services   Management Commercial Operationnel,"48.4464, 1.50854"
Public,0281077U,Lycee Silvia Monfort,Centre,BTS   Services   Support à l action manageriale,"48.4189, 1.45595"
Public,0290007A,Lycee La Perouse   Kerichen,Bretagne,CPGE   Lettres,"48.4059, -4.48107"
Public,0290012F,Lycee Vauban,Bretagne,CPGE   PTSI,"48.4075, -4.48218"
Prive enseignement superieur,0121516H,SPE FORMATION,Occitanie,BPJEPS   Specialite Educateur sportif   Mention Activites de la forme,"44.33333, 2.56667"
Public,0290012F,Lycee Vauban,Bretagne,"BTS   Production   Cybersecurite, Informatique et reseaux, ELectronique   Option B : Electronique et reseaux","48.4075, -4.48218"
Public,0290013G,Lycee Jules Lesven,Bretagne,BTS   Services   Professions immobilieres,"48.40643, -4.47923"
Public,0290051Y,Lycee Tristan Corbiere,Bretagne,BTS   Production   Conception de produits industriels,"48.5695, -3.82209"
Public,0290070U,Lycee Jean Chaptal,Bretagne,BTS   Services   Services et prestations des secteurs sanitaire et social,"47.9914, -4.11872"
Public,0290070U,Lycee Jean Chaptal,Bretagne,BTS   Services   Services informatiques aux organisations,"47.9914, -4.11872"
Prive sous contrat d association,0290156M,Lycee St Louis,Bretagne,BTS   Services   Services informatiques aux organisations,"48.1974, -4.08568"
Prive sous contrat d association,0290181P,Lycee Sup Javouhey BREST,Bretagne,BTS   Services   Comptabilite et gestion,"48.3832, -4.50244"
Public,0290334F,I.U.T de Brest,Bretagne,BUT   Genie biologique parcours sciences de l environnement et ecotechnologies,"48.3989, -4.50379"
Public,0290334F,I.U.T de Brest,Bretagne,BUT   Gestion des entreprises et des administrations,"48.3989, -4.50379"
Prive sous contrat d association,0290335G,Lycee La Croix Rouge,Bretagne,CPGE   PTSI,"48.4099, -4.48779"
Prive enseignement superieur,0673172J,ESSCA School of Management   Strasbourg,Grand Est,Formation des ecoles de commerce et de management Bac + 3   Bachelor en Management International,"48.58333, 7.75"
Prive sous contrat d association,0290335G,Lycee La Croix Rouge,Bretagne,BTS   Production   Maintenance des systemes   option A Systemes de production,"48.4099, -4.48779"
Prive sous contrat d association,0290335G,Lycee La Croix Rouge,Bretagne,"BTS   Production   Cybersecurite, Informatique et reseaux, ELectronique   Option B : Electronique et reseaux","48.4099, -4.48779"
Public,0921204J,Universite Paris Nanterre,Ile de France,Licence   Portail Droit francais   Droit etranger   Droit francais   common law,"48.9035, 2.21449"
Prive sous contrat d association,0290335G,Lycee La Croix Rouge,Bretagne,BTS   Services   Management Commercial Operationnel,"48.4099, -4.48779"
Prive enseignement superieur,0022134J,ELISA Aerospace Hauts de France,Hauts de France,Formation d ingenieur Bac + 5   Bacs generaux   2 Sciences,"49.8494, 3.28716"
Prive enseignement superieur,0333557M,IFSI LESPARRE CROIX ROUGE FRANCAISE,Nouvelle Aquitaine,D.E Infirmier,"45.3056, -0.93538"
Public,0290346U,Universite de Brest,Bretagne,Licence   Portail Philosophie,"48.3922, -4.48813"
Public,0290346U,Universite de Brest,Bretagne,Licence   Portail Economie et management,"48.3995, -4.5055"
Prive sous contrat d association,0291751W,Lycee agricole Kerustum,Bretagne,BTS   Agricole   Technico commercial   Specialite alimentation et boisson,"47.9802, -4.09327"
Prive enseignement superieur,0941954N,ESITC Paris,Ile de France,Formation d ingenieur Bac + 5   Bacs generaux   2 Sciences,"48.8047, 2.32543"
Prive enseignement superieur,0693623N,CPE Lyon,Auvergne Rhone Alpes,Formation d ingenieur Bac + 5   Bacs generaux   1 Science,"45.7841, 4.86893"
Prive enseignement superieur,0941954N,ESITC Paris,Ile de France,Formation d ingenieur Bac + 5   Bacs generaux   1 Science,"48.8047, 2.32543"
Prive enseignement superieur,0442837V,ISEN Ouest Nantes,Pays de la Loire,Formation d ingenieur Bac + 5   Bacs technologiques,"47.2749, -1.50702"
Prive enseignement superieur,0142182W,BUILDERS Caen,Normandie,Formation d ingenieur Bac + 5   Bac Serie generale avec 2 specialites scientifiques mais sans la specialite Maths en Terminale,"49.2163, -0.36644"
Prive enseignement superieur,0754431J,ECE Paris,Ile de France,Formation d ingenieur Bac + 5   Bac Serie generale avec la specialite Maths en Terminale + une specialite non scientifique,"48.8511, 2.2886"
Prive enseignement superieur,0762378X,ESIGELEC Rouen,Normandie,Formation d ingenieur Bac + 5   Bac Serie generale avec la specialite Maths en Terminale + une specialite non scientifique,"49.3842, 1.07757"
Prive enseignement superieur,0142182W,BUILDERS Caen,Normandie,Formation d ingenieur Bac + 5   Bac Serie generale avec la specialite Maths en Terminale + une specialite non scientifique,"49.2163, -0.36644"
Prive enseignement superieur,0061770S,EDHEC Nice,Provence Alpes Cote d Azur,Formation des ecoles de commerce et de management Bac + 4   International BBA,"43.66971, 7.22098"
Prive enseignement superieur,0590350K,EDHEC Lille,Hauts de France,Formation des ecoles de commerce et de management Bac + 4   International BBA,"48.81903, 2.27505"
Public,0561890A,ENSIBS Lorient,Bretagne,Formation d ingenieur Bac + 5   bac STI2D,"47.7475, -3.3966"
Public,0292185T,I.U.T de Brest   Site de Morlaix,Bretagne,BUT   Gestion administrative et commerciale des organisations,"48.5841, -3.83541"
Public,0660856X,Lycee Rosa Luxemburg,Occitanie,FCIL   Voilerie et sellerie nautique,"42.7028, 3.02789"
Public,0912414E,Ecole Universitaire de premier cycle   Campus d Evry Universite Paris Saclay,Ile de France,Licence   Histoire,"48.6235, 2.42485"
Public,0442953W,Nantes Universite,Pays de la Loire,Licence   Informatique   Parcours Info   Maths,"47.2366, -1.55504"
Public,0442953W,Nantes Universite,Pays de la Loire,Licence   Mathematiques et informatique appliquees aux sciences humaines et sociales   Parcours MIASHS,"47.2354, -1.55555"
Public,0442953W,Nantes Universite,Pays de la Loire,"Licence   Physique, chimie   Parcours Physique   Chimie","47.2358, -1.55536"
Public,0281197Z,Lycee Josephine Baker,Centre,"BTS   Production   Cybersecurite, Informatique et reseaux, ELectronique   Option B : Electronique et reseaux","48.6, 1.65"
Public,0597132G,Universite Polytechnique Hauts de France,Hauts de France,Licence professionnelle   Activites juridiques : Assistant juridique,"50.3627, 3.52793"
Public,0597132G,Universite Polytechnique Hauts de France,Hauts de France,Licence professionnelle   Intervention sociale : Insertion et reinsertion sociale et professionnelle,"50.3627, 3.52793"
Public,0133516B,Aix Marseille Universite   Site d Aix en Provence (Montperrin),Provence Alpes Cote d Azur,Licence   Physique   Portail Marie Curie,"43.5194, 5.44036"
Public,0134015U,Aix Marseille Universite   Site de Marseille Saint Charles,Provence Alpes Cote d Azur,Licence   Physique   Portail Marie Curie,"43.3051, 5.37897"
Public,0134316W,Aix Marseille Universite   Site de Marseille Saint Jerome,Provence Alpes Cote d Azur,Licence   Physique   Portail Marie Curie,"43.3374, 5.41216"
Public,0450855K,Universite d Orleans,Centre,"Licence   Portail Chimie   PC (Chimie, Physique)","47.8502, 1.93351"
Public,0450855K,Universite d Orleans,Centre,"Licence   Portail Mathematiques   MP (Mathematiques, Physique)","47.8502, 1.93351"
Prive enseignement superieur,0754493B,ISIT   Institut de Management et de Communication Interculturels,Ile de France,Formation des ecoles de commerce et de management Bac + 5   Juriste linguiste / Droit Etudes Interculturelles,"48.8468, 2.33065"
Prive enseignement superieur,0691503J,ESDES LYON BUSINESS SCHOOL,Auvergne Rhone Alpes,Formation des ecoles de commerce et de management Bac + 5,"45.7467, 4.82584"
Public,0130201Y,Aix Marseille Universite   Site de Marseille Luminy,Provence Alpes Cote d Azur,Licence   Physique   Portail Rene Descartes,"43.2326, 5.44085"
Public,0133516B,Aix Marseille Universite   Site d Aix en Provence (Montperrin),Provence Alpes Cote d Azur,Licence   Informatique   Portail Rene Descartes,"43.5194, 5.44036"
Public,0133516B,Aix Marseille Universite   Site d Aix en Provence (Montperrin),Provence Alpes Cote d Azur,Licence   Mecanique   Portail Rene Descartes,"43.5194, 5.44036"
Public,0300002P,Lycee Jean Baptiste Dumas,Occitanie,BTS   Production   Assistance technique d ingenieur,"44.1311, 4.07527"
Public,0133516B,Aix Marseille Universite   Site d Aix en Provence (Montperrin),Provence Alpes Cote d Azur,Licence   Sciences pour l ingenieur   Portail Marie Curie,"43.5194, 5.44036"
Public,0130201Y,Aix Marseille Universite   Site de Marseille Luminy,Provence Alpes Cote d Azur,Licence   Sciences de la vie   Portail Louis Pasteur,"43.2326, 5.44085"
Public,0133516B,Aix Marseille Universite   Site d Aix en Provence (Montperrin),Provence Alpes Cote d Azur,Licence   Sciences de la vie   Portail Louis Pasteur,"43.5194, 5.44036"
Public,0134015U,Aix Marseille Universite   Site de Marseille Saint Charles,Provence Alpes Cote d Azur,Licence   Sciences de la vie et de la terre   Portail Pasteur,"43.3052, 5.37892"
Public,0134015U,Aix Marseille Universite   Site de Marseille Saint Charles,Provence Alpes Cote d Azur,Licence   Sciences sanitaires et sociales   Portail Louis Pasteur,"43.30548, 5.37848"
Public,0755976N,Universite Paris Cite,Ile de France,Certificat de capacite d Orthoptiste,"48.8761, 2.36157"
Public,0650139Y,L.E.G.T.A. Jean Monnet,Occitanie,BTS   Agricole   Gestion forestiere,"43.3826, 0.04648"
Prive enseignement superieur,0922007G,EDC Paris Business School,Ile de France,Formation des ecoles de commerce et de management,"48.885, 2.24471"
Prive enseignement superieur,0694051D,ESCE Lyon,Auvergne Rhone Alpes,Formation des ecoles de commerce et de management,"45.7506, 4.83993"
Prive enseignement superieur,0694051D,ESCE Lyon,Auvergne Rhone Alpes,Formation des ecoles de commerce et de management,"45.7506, 4.83993"
Public,0300021K,Lycee Alphonse DAUDET,Occitanie,Classe preparatoire aux etudes superieures   Generale,"43.8358, 4.35761"
Prive enseignement superieur,0352373P,UniLaSalle Rennes,Bretagne,Formation Bac + 3,"48.0443, -1.74568"
Prive enseignement superieur,0801911T,Ingenieur UniLaSalle Amiens (ex ESIEE Amiens),Hauts de France,Formation Bac + 3,"49.89974, 2.29164"
Public,0762762P,Universite Le Havre Normandie,Normandie,Licence   Mathematiques,"49.4959, 0.12911"
Public,9840349G,Universite de la Polynesie francaise,,Licence   Sciences de la vie,"-17.5769, -149.609"
Public,0300023M,Lycee ALBERT CAMUS,Occitanie,BTS   Services   Management Commercial Operationnel,"43.8357, 4.3458"
Public,0300023M,Lycee ALBERT CAMUS,Occitanie,BTS   Services   Negociation et digitalisation de la Relation Client,"43.8357, 4.3458"
Public,0541669W,"Universite de Lorraine   Faculte de Medecine, Maïeutique et Metiers de la Sante   site de Nancy (54)",Grand Est,Licence   Portail Sciences pour la sante,"48.64943, 6.1425"
Public,0597239Y,Universite de Lille,Hauts de France,Licence   Portail Mathematiques   Mathematiques Informatique,"50.6105, 3.13827"
Public,0597239Y,Universite de Lille,Hauts de France,Licence   Portail Physique   Mathematiques Physique Chimie Sciences de l Ingenieur option Renforce Recherche,"50.6105, 3.13834"
Public,0300026R,Lycee Dhuoda,Occitanie,BTS   Production   Management economique de la construction,"43.8277, 4.35688"
Public,0300026R,Lycee Dhuoda,Occitanie,BTS   Production   Electrotechnique,"43.8277, 4.35688"
Prive enseignement superieur,0693830E,ESME Sudria Lyon,Auvergne Rhone Alpes,Formation d ingenieur Bac + 5   Bac Serie generale,"45.7705, 4.80637"
Public,0761904G,Universite de Rouen Normandie   Campus Mont Saint Aignan,Normandie,Licence   Portail Licence Chimie / Licence Physique Chimie,"49.4583, 1.06895"
Public,0761904G,Universite de Rouen Normandie   Campus Mont Saint Aignan,Normandie,Licence   Portail Licence Sciences de la Vie et de la Terre / Licence Sciences de la Terre / Licence Sciences de la Vie,"49.4583, 1.06895"
Public,0761904G,Universite de Rouen Normandie   Campus Mont Saint Aignan,Normandie,Licence   Portail Licence Chimie / Licence Physique Chimie,"49.4583, 1.06895"
Public,9760220K,Lycee de Dzoumogne,Mayotte,Certificat de Specialisation   Techn. en energies renouvelables opt. b energie thermique,"-12.7034, 45.1226"
Public,0300027S,Lycee Hemingway   De La Camargue,Occitanie,BTS   Services   Gestion de la PME,"43.8249, 4.35335"
Public,0692866R,Lycee La Martiniere Monplaisir,Auvergne Rhone Alpes,CPGE   MP2I,"45.7399, 4.86873"
Public,0260894F,ecole superieure d art et design Grenoble Valence   Site de Valence,Auvergne Rhone Alpes,Diplome National d Art,"44.9298, 4.92625"
