"Statut de l’etablissement de la filiere de formation (public, prive…)",Code UAI de l etablissement,etablissement,Region de l’etablissement,Filiere de formation,Coordonnées GPS de la formation
Prive sous contrat d association,0560182U,Lycee Jeanne d Arc St Ivy,Bretagne,BTS   Services   Negociation et digitalisation de la Relation Client,"48.0718, -2.96024"
Prive sous contrat d association,0560198L,Lycee St Joseph,Bretagne,BTS   Production   Electrotechnique,"47.6538, -2.78005"
Prive sous contrat d association,0560858D,Lycee agricole La Touche,Bretagne,"BTS   Agricole   Metiers de l elevage: developpement, production et conseil","47.9488, -2.40328"
Public,0560861G,I.U.T de Vannes,Bretagne,BUT   Informatique,"47.6442, -2.77691"
Public,0561363C,I.U.T de Lorient,Bretagne,BUT   Hygiene Securite Environnement,"47.7446, -3.38672"
Public,0561641E,Lycee Marcellin Berthelot,Bretagne,BTS   Production   Europlastics et composites à referentiel commun europeen   option Pilotage et Optimisation de la production,"47.6634, -2.464"
Prive enseignement superieur,0561687E,Facultes libres de l ouest   UCO   Bretagne Sud,Bretagne,Licence   Histoire,"47.6476, -2.80567"
Public,0561698S,Lycee Jean Mace,Bretagne,BTS   Services   Metiers des Services à l environnement,"47.7652, -3.34422"
Public,0561718N,Universite de Bretagne Sud   Site de Lorient,Bretagne,CPGE   ENS Rennes D1,"47.743, -3.3849"
Public,0561718N,Universite de Bretagne Sud   Site de Lorient,Bretagne,Licence   Sciences sanitaires et sociales   Parcours Action sociale Sante,"47.7429, -3.38503"
Public,0561718N,Universite de Bretagne Sud   Site de Lorient,Bretagne,"Licence   Langues, litteratures et civilisations etrangeres et regionales   Parcours Anglais","47.7461, -3.39083"
Public,0570023R,Lycee Antoine De Saint Exupery,Grand Est,BTS   Services   Negociation et digitalisation de la Relation Client,"49.3043, 6.11082"
Public,0570030Y,Lycee Blaise Pascal,Grand Est,BTS   Services   Gestion de la PME,"49.17805, 6.89451"
Public,0570030Y,Lycee Blaise Pascal,Grand Est,BTS   Services   Economie sociale familiale,"49.17805, 6.89451"
Public,0570057C,Lycee Robert Schuman,Grand Est,BTS   Services   Comptabilite et gestion,"49.1108, 6.20875"
Public,0570087K,Lycee des Metiers Charles Jully,Grand Est,BTS   Production   Conception des processus de realisation de produits (1ere annee commune),"49.1055, 6.69305"
Public,0570098X,Lycee Jean De Pange,Grand Est,BTS   Services   Commerce International,"49.1084, 7.06402"
Public,0570099Y,Lycee Henri Nomine,Grand Est,BTS   Services   Conseil et commercialisation de solutions techniques,"49.1159, 7.07942"
Public,0570108H,Lycee La Briquerie,Grand Est,"BTS   Production   Cybersecurite, Informatique et reseaux, ELectronique   Option A : Informatique et reseaux","49.3658, 6.16017"
Public,0570175F,I.U.T de Metz   Universite de Lorraine,Grand Est,BUT   Techniques de commercialisation,"49.1203, 6.16281"
Prive sous contrat d association,0570210U,Lycee Notre Dame,Grand Est,BTS   Services   Tourisme,"49.0729, 6.21735"
Prive sous contrat d association,0570311D,Lycee De La Salle,Grand Est,BTS   Services   Support à l action manageriale,"49.1047, 6.19359"
Public,0572022N,Lycee Felix Mayer,Grand Est,BTS   Services   Gestion de la PME,"49.1991, 6.69759"
Public,0572536X,"Universite de Lorraine   Faculte de Droit, Economie et Administration   Site de Metz (57)",Grand Est,Licence   Droit,"49.12069, 6.16192"
Public,0573561L,"Universite de Lorraine   UFR Arts, Lettres et Langues   Site de Metz (57)",Grand Est,Licence   Arts plastiques,"49.121, 6.16208"
Public,0573562M,Universite de Lorraine   UFR Sciences Humaines et Sociales   Site de Metz (57),Grand Est,Licence   Information et communication,"49.12086, 6.16265"
Public,0573562M,Universite de Lorraine   UFR Sciences Humaines et Sociales   Site de Metz (57),Grand Est,Licence   Sociologie,"49.12106, 6.16355"
Public,0572757M,Lycee Georges De La Tour,Grand Est,CPGE   Lettres,"49.109, 6.16706"
Public,0573231C,Lycee Condorcet,Grand Est,"BTS   Production   Cybersecurite, Informatique et reseaux, ELectronique   Option A : Informatique et reseaux","49.2042, 6.91924"
Public,0573281G,Lycee De La Communication,Grand Est,BTS   Services   Communication,"49.1006, 6.22311"
Public,0573281G,Lycee De La Communication,Grand Est,BTS   Services   Metiers de l audio visuel opt : metiers du son,"49.1006, 6.22311"
Public,0573281G,Lycee De La Communication,Grand Est,BTS   Services   Metiers de l audio visuel opt : montage et post production,"49.1006, 6.22311"
Prive sous contrat d association,0573366Z,Lycee   Campus Saint Vincent de Paul Thionville,Grand Est,DTS Imagerie medicale et radiologie therapeutique,"49.3498, 6.17237"
Public,0573433X,IUT de Moselle Est   Site de Sarreguemines   Universite de Lorraine,Grand Est,BUT   Management de la Logistique et des Transports,"49.114, 7.07166"
Public,0573435Z,I.U.T. Thionville Yutz   Universite de Lorraine,Grand Est,BUT   Genie industriel et maintenance,"49.3501, 6.17432"
Public,0580014A,Lycee Pierre Gilles de Gennes,Bourgogne Franche Comte,BTS   Production   Metiers de l eau,"47.4018, 2.9264"
Public,0580032V,Lycee Raoul Follereau,Bourgogne Franche Comte,BTS   Services   Support à l action manageriale,"47.0048, 3.15778"
Public,0580032V,Lycee Raoul Follereau,Bourgogne Franche Comte,BTS   Services   Management Commercial Operationnel,"47.0048, 3.15778"
Prive sous contrat d association,0580071M,Centre scolaire Notre Dame,Bourgogne Franche Comte,BTS   Services   Support à l action manageriale,"46.99, 3.15261"
Public,0590010R,Lycee Paul Hazard,Hauts de France,BTS   Services   Comptabilite et gestion,"50.6883, 2.87634"
Public,0590011S,Lycee Gustave Eiffel,Hauts de France,CPGE   PTSI,"50.68919, 2.87196"
Public,0590011S,Lycee Gustave Eiffel,Hauts de France,BTS   Production   Conception de produits industriels,"50.68919, 2.87196"
Public,0590018Z,Lycee Jesse De Forest,Hauts de France,Mise à niveau   Hotellerie restauration,"50.1211, 3.92521"
Public,0590034S,Lycee Paul Duez,Hauts de France,BTS   Services   Management Commercial Operationnel,"50.1735, 3.24136"
Public,0590035T,Lycee Fenelon,Hauts de France,BTS   Services   Tourisme,"50.1762, 3.22926"
Public,0590063Y,Lycee Albert Chatelet,Hauts de France,CPGE   MPSI,"50.3743, 3.08316"
Public,0590063Y,Lycee Albert Chatelet,Hauts de France,CPGE   Lettres,"50.3743, 3.08316"
Public,0590064Z,Lycee Jean Baptiste Corot,Hauts de France,BTS   Services   Management Commercial Operationnel,"50.3746, 3.07835"
Public,0590065A,Lycee Elisa LEMONNIER,Hauts de France,BTS   Production   Electrotechnique,"50.3764, 3.06851"
Public,0590071G,Lycee Jean Bart,Hauts de France,BTS   Services   Services informatiques aux organisations,"51.0368, 2.38402"
Public,0590072H,Lycee De L Europe,Hauts de France,BTS   Production   Conception et Realisation de Systemes Automatiques,"51.0204, 2.35485"
Public,0590072H,Lycee De L Europe,Hauts de France,BTS   Production   Conception et realisation en chaudronnerie industrielle,"51.0204, 2.35485"
Public,0590073J,Lycee Auguste Angellier,Hauts de France,BTS   Services   Management Commercial Operationnel,"51.0481, 2.41948"
Public,0590073J,Lycee Auguste Angellier,Hauts de France,BTS   Services   Comptabilite et gestion,"51.0481, 2.41948"
Public,0590110Z,Lycee Jean Perrin,Hauts de France,BTS   Services   Management Commercial Operationnel,"50.6475, 3.03847"
Public,0590121L,Lycee Cesar Baggio,Hauts de France,BTS   Production   Conception des processus de realisation de produits (1ere annee commune),"50.6177, 3.06739"
Public,0590121L,Lycee Cesar Baggio,Hauts de France,"BTS   Production   Cybersecurite, Informatique et reseaux, ELectronique   Option B : Electronique et reseaux","50.6177, 3.06739"
Public,0590121L,Lycee Cesar Baggio,Hauts de France,BTS   Services   Etudes de realisation d un projet de communication   1ere annee commune,"50.6177, 3.06739"
Public,0590122M,Lycee Valentine Labbe,Hauts de France,CPGE   TB,"50.6473, 3.07231"
Public,0590122M,Lycee Valentine Labbe,Hauts de France,BTS   Production   Bioanalyses en laboratoire de controle,"50.6473, 3.07231"
Public,0590122M,Lycee Valentine Labbe,Hauts de France,BTS   Services   Services et prestations des secteurs sanitaire et social,"50.6473, 3.07231"
Public,0590122M,Lycee Valentine Labbe,Hauts de France,DTS Imagerie medicale et radiologie therapeutique,"50.6473, 3.07231"
Public,0590215N,Lycee Sevigne,Hauts de France,BTS   Services   Gestion de la PME,"50.7309, 3.16499"
Public,0590221V,Lycee Henri Wallon,Hauts de France,CPGE   PCSI,"50.3641, 3.52067"
Public,0590223X,Lycee Du Hainaut,Hauts de France,BTS   Production   Conception de produits industriels,"50.3583, 3.51076"
Public,0590223X,Lycee Du Hainaut,Hauts de France,BTS   Production   Maintenance des vehicules option voitures particulieres,"50.3583, 3.51076"
Public,0590255G,Lycee professionnel GUY DEBEYRE,Hauts de France,BTS   Services   Gestion des transports et logistique associee,"51.0431, 2.37986"
Public,0590258K,Lycee Gaston Berger,Hauts de France,CPGE   ECT   Option technologique,"50.6134, 3.0784"
Public,0590258K,Lycee Gaston Berger,Hauts de France,BTS   Services   Conseil et commercialisation de solutions techniques,"50.6134, 3.0784"
Public,0590258K,Lycee Gaston Berger,Hauts de France,BTS   Services   Assurance,"50.6134, 3.0784"
Public,0590258K,Lycee Gaston Berger,Hauts de France,Diplome de Comptabilite et de Gestion,"50.6134, 3.0784"
Public,0590282L,Lycee Jules Mousseron,Hauts de France,BTS   Services   Economie sociale familiale,"50.3235, 3.39598"
Public,0590311T,CPI Lille (ENSC Lille),Hauts de France,Formation d ingenieur Bac + 5   Bac General,"50.60968, 3.14629"
Public,0597215X,Institut universitaire de technologie de Lille   Universite de Lille,Hauts de France,BUT   Mesures physiques,"50.6136, 3.13651"
