Année de la campagne de recueil des informations;Code UAI de l’établissement accrédité;Nom officiel (long) de l’établissement accrédité;Nom d’usage de l’établissement accrédité;Adresse de l’établissement accrédité;Complément d’adresse de l’établissement accrédité;Code postal de la ville de l’établissement accrédité;Ville de l’établissement accrédité;Identifiant navette de la mention (INM) de master;Domaine(s) de la mention de master;Intitulé de la mention de master;Mention accréditée ou en cours d’accréditation;Année de début de la période d’accréditation;Année de fin de la période d’accréditation;Mention ouverte ou non ouverte;Etablissement(s) co-accrédité(s) en vue de la délivrance du DNM dans la mention;Inscription des étudiants effectuée ou non par l’établissement dans la mention;Modalités d’enseignement de la mention;Semestre auquel la mention est accessible dans l’établissement accrédité;Existence d’une capacité d’accueil limitée au 1er semestre;Capacité d’accueil limitée au 1er semestre;Licences conseillées pour suivre la formation de la mention;URL de la fiche relative à la mention sur le site internet de l’établissement;etablissement_id_paysage
2020;0350937D;Université Rennes-II;;PLACE DU RECTEUR LE MOAL;;35043;RENNES CEDEX;1701516Z;SCIENCES HUMAINES ET SOCIALES;Géomatique;diplôme;2017;2021;1;;;Formation initiale,Formation continue;1er semestre;Oui;22;;;ti37C
2020;0350937D;Université Rennes-II;;PLACE DU RECTEUR LE MOAL;;35043;RENNES CEDEX;1701781M;SCIENCES HUMAINES ET SOCIALES;Intervention et développement social;diplôme;2017;2021;1;;;Formation initiale,Formation continue,Alternance;1er semestre;Oui;50;Toutes licences;https://formations.univ-rennes2.fr/fr/formations/master-37/master-mention-intervention-et-developpement-social-JFKVZKVR.html;ti37C
2020;0350937D;Université Rennes-II;;PLACE DU RECTEUR LE MOAL;;35043;RENNES CEDEX;1702166F;SCIENCES HUMAINES ET SOCIALES;Économie sociale et solidaire;diplôme;2017;2021;1;Université Rennes-I;0;Formation initiale,Formation continue,Alternance;1er semestre;Oui;40;;;ti37C
2020;0350937D;Université Rennes-II;;PLACE DU RECTEUR LE MOAL;;35043;RENNES CEDEX;1703422W;SCIENCES HUMAINES ET SOCIALES;Études sur le genre;diplôme;2017;2021;0;Université de Brest,Université de Nantes,Université d'Angers,Université Le Mans;1;Formation initiale,Formation continue;1er semestre;Sans objet;;;;ti37C
2020;0352440M;Ecole normale supérieure de Rennes;;AVENUE ROBERT SCHUMAN;CAMPUS DE KER LANN;35170;BRUZ;1702640W;SCIENCES, TECHNOLOGIES, SANTÉ;Ingénierie des systèmes complexes;diplôme;2017;2021;1;Université Rennes-I;1;Formation initiale;1er semestre;Non;;Mécanique,Electronique, énergie électrique, automatique;http://www.mecatronique.ens-rennes.fr/;j5bS4
2020;0370800U;Université de Tours;;60  RUE RUE DU PLAT D'ETAIN;;37000;TOURS;1800406S;SCIENCES, TECHNOLOGIES, SANTÉ;Informatique;diplôme;2018;2022;1;;;Formation initiale,Formation continue,Apprentissage;1er semestre;Oui;25;;;cqkij
2020;0370800U;Université de Tours;;60  RUE RUE DU PLAT D'ETAIN;;37000;TOURS;1801077W;DROIT, ECONOMIE, GESTION;Management et administration des entreprises;diplôme;2018;2022;1;;;Formation initiale,Formation continue,Apprentissage;1er semestre;Oui;30;;;cqkij
2020;0383493R;Université Grenoble Alpes;;621  AVENUE CENTRALE;;38040;GRENOBLE CEDEX 9;1602319B;DROIT, ECONOMIE, GESTION ET SCIENCE POLITIQUE;Entrepreneuriat et management de projets;diplôme;2016;2020;1;;;Formation initiale,Formation continue;1er semestre;Oui;20;;;Y7ch7
2020;0420093Y;Ecole nationale d'ingénieurs de Saint-Etienne;;58  RUE JEAN PAROT;;42023;ST ETIENNE CEDEX 2;1602844X;SCIENCES, TECHNOLOGIES, SANTÉ;Mécanique;diplôme;2016;2021;1;Ecole centrale de Lyon,Université Lyon-I,Institut Mines-Télécom (IMT);0;Formation initiale;3ème semestre;Sans objet;;;;7s7yT
2020;0421095M;Université de Saint-Etienne;;10  RUE TREFILERIE;;42023;ST ETIENNE CEDEX 2;1601950A;DROIT, ECONOMIE, GESTION;Management;diplôme;2016;2021;1;Université Lyon-III;0;Formation initiale,Alternance;1er semestre;Oui;235;;;tIJ02
2020;0421095M;Université de Saint-Etienne;;10  RUE TREFILERIE;;42023;ST ETIENNE CEDEX 2;1602444M;SCIENCES, TECHNOLOGIES, SANTÉ;Électronique, énergie électrique, automatique;diplôme;2016;2021;1;Ecole centrale de Lyon,Université Lyon-I;0;Formation initiale,Alternance;1er semestre;Oui;60;;;tIJ02
2020;0421095M;Université de Saint-Etienne;;10  RUE TREFILERIE;;42023;ST ETIENNE CEDEX 2;1602954S;DROIT, ECONOMIE, GESTION;Comptabilité - contrôle - audit;diplôme;2016;2021;1;Université Lyon-III;0;Formation initiale;1er semestre;Oui;50;Gestion,Economie et gestion;https://www.univ-st-etienne.fr/fr/formation/master-XB/master-XB/master-comptabilite-controle-audit-5_5_7_4_FR.html;tIJ02
2020;0440984F;Université de Nantes;;1  QUAI DE TOURVILLE;;44036;NANTES CEDEX 2;1302893N;Autre Domaine;Métiers de l'enseignement, de l'éducation et de la formation (MEEF), 2nd degré;diplôme;2017;2021;1;Université d'Angers,Université Le Mans;0;Formation initiale,Formation continue;1er semestre;Oui;670;;;7hB8r
2020;0440984F;Université de Nantes;;1  QUAI DE TOURVILLE;;44036;NANTES CEDEX 2;1703372S;SCIENCES, TECHNOLOGIES, SANTÉ;Sciences du médicament et des produits de santé;diplôme;2017;2021;1;Université d'Angers;0;Formation initiale,Formation continue,Alternance;1er semestre;Oui;57;;;7hB8r
